NIK,Nama_Klien,Tgl_Daftar,No_Tlp_K,Email_K,Alamat_K,Gender_K,Tmpt_tgl_lhr_K,Tgl_lhr_K,Jenis_LH
10000026,Usman Wijayanti,2025-03-06,+62 (117) 801 3,klien26_realize-than-camera@pd.org,"Jalan Asia Afrika No. 0, Cirebon, Kalimantan Timur 78926",Wanita,Balikpapan,2001-10-03,5548
10000027,Asmianto Wibowo,2026-07-21,0862323226,klien27_past-traditional@ud.desa.id,"Jl. Jakarta No. 8, Kediri, SU 62545",Wanita,Balikpapan,1974-01-28,3806
10000028,"Mutia Saputra, S.I.Kom",2023-09-23,0847692424,klien28_free-democratic@perum.ac.id,"Jl. PHH. Mustofa No. 7, Bontang, KT 12171",Laki-Laki,Metro,1975-02-12,9602
10000029,Nurul Firmansyah,2025-10-17,+62 (454) 310-5,klien29_yourself-feeling@cv.gov,"Gg. Sukajadi No. 945, Pekanbaru, JB 38149",Laki-Laki,Kediri,1990-02-06,8494
10000030,Ellis Prayoga,2023-05-02,081 409 3102,klien30_serve-perform@perum.edu,"Gg. Pasirkoja No. 890, Tanjungbalai, NT 62711",Laki-Laki,Pekanbaru,1971-08-21,8318
10000031,"Olivia Budiman, S.Sos",2026-07-27,+62 (448) 471 3,klien31_executive-but@perum.ac.id,"Gang Antapani Lama No. 127, Solok, NB 87957",Wanita,Sibolga,1967-03-28,1415
10000032,"Tgk. Ida Hassanah, M.Kom.",2023-02-11,+62-0272-473-50,klien32_away-strong-action@ud.com,"Gg. Indragiri No. 04, Serang, Sulawesi Tengah 67089",Laki-Laki,Makassar,1988-10-01,727
10000033,Harjaya Hutapea,2025-06-22,088 677 9239,klien33_me-despite-others@cv.my.id,"Jalan Moch. Toha No. 556, Surabaya, NT 12241",Laki-Laki,Bogor,1990-04-29,9035
10000034,Ulya Mandala,2023-08-25,(0240) 226 8521,klien34_something-billion@perum.co.id,"Gang Jayawijaya No. 8, Mataram, SN 57894",Laki-Laki,Solok,1985-12-10,7367
10000035,Rika Haryanti,2025-05-27,(000) 338-3452,klien35_today-play-real@ud.sch.id,"Jalan Rajiman No. 83, Tangerang Selatan, SN 19728",Wanita,Palembang,2002-08-07,3610
10000036,"Puti Suci Oktaviani, M.Ak",2026-12-24,(0433) 674-5644,klien36_whatever-without@pd.mil,"Jalan Siliwangi No. 122, Pontianak, SN 74438",Wanita,Meulaboh,1999-01-02,5912
10000037,"Putri Wahyudin, M.Farm",2024-04-11,+62 (0200) 937-,klien37_model-market@pd.ponpes.id,"Jl. Jamika No. 989, Tangerang Selatan, Papua 77978",Laki-Laki,Tidore Kepulauan,1982-03-05,7689
10000038,Fitriani Prayoga,2024-04-21,+62 (0481) 675-,klien38_scientist-explain@pt.biz.id,"Jalan Moch. Toha No. 120, Subulussalam, NT 67469",Laki-Laki,Bau-Bau,2003-11-16,4151
10000039,Cahyono Halim,2026-07-29,083 400 7163,klien39_college-discover@cv.biz.id,"Jalan HOS. Cokroaminoto No. 485, Semarang, Papua 44898",Wanita,Jayapura,1964-02-29,5388
10000040,"Puti Sabrina Habibi, S.IP",2026-07-16,+62 (105) 759-6,klien40_since-move-federal@pt.org,"Gang Ir. H. Djuanda No. 1, Surakarta, Jawa Timur 32471",Laki-Laki,Bogor,1994-07-16,8817
10000041,Wani Hutagalung,2023-01-03,+62 (25) 201-97,klien41_those-return-just@pt.desa.id,"Jl. Bangka Raya No. 158, Pontianak, BB 71836",Wanita,Pematangsiantar,1973-08-13,3988
10000042,"Salwa Budiman, S.E.I",2025-03-22,088 254 0886,klien42_move-billion@pd.mil,"Jalan Gedebage Selatan No. 988, Padang, Bali 32560",Laki-Laki,Mojokerto,1967-06-03,5130
10000043,T. Rizki Palastri,2026-10-21,+62-0107-515-34,klien43_full-they-fill@ud.id,"Gg. Kiaracondong No. 86, Pasuruan, BT 59095",Wanita,Kotamobagu,1962-07-16,3845
10000044,Ir. Daryani Mansur,2024-09-03,(042) 538-1187,klien44_consider-girl-word@ud.mil.id,"Gang Ir. H. Djuanda No. 1, Cimahi, Riau 98998",Wanita,Batu,1988-11-20,8964
10000045,Janet Halimah,2026-07-31,+62-15-909-0873,klien45_how-set-team@pt.mil.id,"Jl. Ronggowarsito No. 250, Surabaya, NT 76065",Wanita,Cilegon,2002-07-14,73
10000046,Radika Kusmawati,2024-10-31,+62 (0301) 715 ,klien46_mention-while-think@cv.int,"Gg. Jakarta No. 775, Tarakan, PB 06416",Wanita,Pagaralam,1977-12-19,8495
10000047,Widya Laksita,2025-06-07,+62 (001) 015-9,klien47_office-age-board@perum.web.id,"Gang Merdeka No. 103, Bau-Bau, JI 09829",Laki-Laki,Pontianak,1972-12-20,5476
10000048,"Sutan Ivan Halim, S.Gz",2026-01-13,+62-051-140-134,klien48_direction-product@pt.ac.id,"Jalan Cihampelas No. 44, Bau-Bau, Sulawesi Tenggara 87681",Wanita,Pematangsiantar,2002-04-01,8724
10000049,Estiawan Sihotang,2023-11-01,(0903) 528-7137,klien49_sing-cut-property@cv.gov,"Gang Sadang Serang No. 480, Kota Administrasi Jakarta Selatan, Sulawesi Tenggara 46729",Wanita,Subulussalam,1965-01-01,1837
10000050,Cahyanto Sudiati,2023-03-22,+62 (206) 293-9,klien50_fight-information@pd.int,"Gg. Peta No. 88, Pariaman, AC 39752",Wanita,Bukittinggi,1981-07-10,5306
10000051,Abyasa Gunawan,2026-05-16,+62 (008) 103 9,klien51_black-run-physical@cv.co.id,"Gg. Indragiri No. 0, Kupang, Papua 25286",Wanita,Bukittinggi,1960-03-11,4207
10000052,Lasmanto Uyainah,2025-08-01,+62-078-458-972,klien52_wind-option-scene@pt.biz.id,"Gg. M.H Thamrin No. 823, Tarakan, Jawa Tengah 90724",Laki-Laki,Dumai,1968-06-01,5926
10000053,Hendra Prabowo,2023-01-22,(0210) 746-1464,klien53_information-lose@pd.desa.id,"Gang Raya Ujungberung No. 7, Dumai, JT 70909",Wanita,Sukabumi,1993-03-08,7546
10000054,Argono Januar,2025-05-18,+62-52-138-8330,klien54_soldier-involve@pd.com,"Jl. Ahmad Yani No. 251, Semarang, JK 95079",Wanita,Probolinggo,1970-07-16,503
10000055,Hamzah Haryanto,2024-02-14,+62 (0611) 741 ,klien55_environmental@perum.desa.id,"Jl. Rungkut Industri No. 73, Magelang, JI 49509",Wanita,Palu,1979-05-10,4324
10000056,T. Lukman Sinaga,2024-11-05,+62 (0409) 701 ,klien56_top-easy-contain@cv.ponpes.id,"Jalan K.H. Wahid Hasyim No. 46, Banda Aceh, Sulawesi Tengah 80250",Laki-Laki,Pekalongan,1983-06-09,2669
10000057,Padmi Santoso,2025-08-19,+62 (08) 535 71,klien57_white-dog-cup@cv.my.id,"Jl. Ciwastra No. 054, Bau-Bau, SG 61776",Wanita,Lhokseumawe,1988-01-07,6303
10000058,Dt. Utama Puspasari,2024-05-19,+62 (0660) 255 ,klien58_available-since@pd.org,"Jalan Ahmad Dahlan No. 01, Bima, Sumatera Barat 44686",Wanita,Manado,1998-07-06,9557
10000059,Violet Ramadan,2025-01-14,0858354657,klien59_of-machine-police@pt.mil.id,"Gang Laswi No. 22, Pekanbaru, Jawa Tengah 61235",Wanita,Mojokerto,1966-08-23,2292
10000060,Daru Permadi,2023-12-04,+62 (073) 272 4,klien60_must-get-work@ud.net,"Gang Kebonjati No. 47, Sibolga, KR 32818",Laki-Laki,Pagaralam,1990-04-02,6746
10000061,"Opung Sitorus, M.Ak",2023-01-12,(044) 488 9100,klien61_real-exist-describe@pd.mil.id,"Jl. Jamika No. 5, Prabumulih, PB 87561",Wanita,Padangpanjang,2000-10-10,1172
10000062,Zelaya Suryono,2024-10-18,+62 (0640) 271-,klien62_church-from@perum.ponpes.id,"Jalan Tebet Barat Dalam No. 252, Magelang, Sulawesi Tengah 10315",Wanita,Lhokseumawe,1989-07-20,8449
10000063,Karma Permata,2026-07-23,+62-0832-582-59,klien63_project-nice-senior@perum.desa.id,"Gang Joyoboyo No. 20, Sabang, KU 27104",Laki-Laki,Pekalongan,1995-05-31,8524
10000064,Lintang Lestari,2023-01-23,081 639 1940,klien64_beat-painting-movie@pt.sch.id,"Jl. Asia Afrika No. 23, Pekalongan, Gorontalo 82990",Wanita,Sawahlunto,2001-07-02,8726
10000065,"Dr. Adinata Oktaviani, S.Farm",2023-05-24,(097) 776 2838,klien65_majority-from@pd.gov,"Jalan Stasiun Wonokromo No. 65, Gorontalo, LA 38623",Laki-Laki,Pasuruan,1990-05-22,4306
10000066,Dalima Nugroho,2026-10-08,+62 (05) 524-69,klien66_service-or-matter@perum.mil.id,"Gang Ciwastra No. 3, Bontang, Sumatera Selatan 51143",Wanita,Samarinda,1991-05-31,3553
10000067,R.M. Pandu Rahmawati,2023-10-20,+62 (493) 889 7,klien67_task-professor@pt.id,"Gang Moch. Ramdan No. 59, Prabumulih, Maluku 17826",Wanita,Lhokseumawe,1993-10-03,8204
10000068,Tasnim Winarno,2024-01-18,+62-207-364-292,klien68_difficult-federal@perum.or.id,"Gang KH Amin Jasuta No. 97, Tidore Kepulauan, Nusa Tenggara Barat 34816",Wanita,Madiun,2002-01-07,8466
10000069,Icha Lazuardi,2026-06-22,+62-0722-921-65,klien69_be-painting-night@perum.co.id,"Jalan Antapani Lama No. 863, Palangkaraya, KS 91020",Laki-Laki,Pekalongan,1963-09-23,8079
10000070,Sutan Cawuk Simbolon,2024-08-07,+62 (29) 349 76,klien70_money-lawyer-suffer@cv.ac.id,"Gang BKR No. 6, Salatiga, Kalimantan Utara 57476",Laki-Laki,Kupang,1999-06-22,3409
10000071,drg. Devi Sirait,2024-07-06,+62 (612) 246-1,klien71_reach-meeting-crime@perum.web.id,"Jalan Surapati No. 81, Binjai, DKI Jakarta 29083",Wanita,Padang,1999-12-21,7479
10000072,Aris Rajasa,2024-10-03,+62-17-972-7386,klien72_risk-husband@pd.mil,"Gg. H.J Maemunah No. 9, Tebingtinggi, SU 31225",Wanita,Palembang,1992-02-16,7401
10000073,Endah Pudjiastuti,2023-12-22,(016) 214-8667,klien73_when-detail@pt.id,"Jalan Suryakencana No. 864, Batu, PA 78229",Wanita,Bogor,1977-06-20,1907
10000074,"Purwanto Laksita, S.Sos",2025-01-09,+62-0435-931-93,klien74_learn-check-mention@pt.mil,"Gg. Kutisari Selatan No. 9, Bandung, MA 73072",Wanita,Gorontalo,2001-03-01,4048
10000075,Asman Namaga,2025-01-21,+62-064-663-607,klien75_society-without@ud.net,"Jl. Dr. Djunjunan No. 611, Bogor, Sulawesi Barat 09441",Wanita,Solok,1991-09-22,6973
10000076,"Emas Wahyuni, M.Farm",2025-04-27,+62-0388-699-13,klien76_it-the-as-yes-site@perum.desa.id,"Gg. Gardujati No. 5, Mojokerto, SB 80426",Laki-Laki,Prabumulih,1981-03-05,1200
10000077,Dian Wulandari,2025-11-21,+62-38-877-9097,klien77_else-situation@pt.ponpes.id,"Jl. Suryakencana No. 296, Solok, DKI Jakarta 27717",Laki-Laki,Dumai,1987-05-28,4135
10000078,Dian Firgantoro,2023-06-04,+62 (955) 336-2,klien78_from-group-want-gas@cv.sch.id,"Gg. Jamika No. 0, Pagaralam, DI Yogyakarta 99846",Wanita,Lubuklinggau,1987-10-07,3092
10000079,Ridwan Anggriawan,2026-03-31,(014) 621 8431,klien79_travel-indicate@perum.desa.id,"Gg. Tubagus Ismail No. 45, Ternate, Bali 10179",Wanita,Bengkulu,1989-08-12,2688
10000080,Puti Humaira Putra,2023-03-28,(0601) 290-2228,klien80_down-member-season@ud.net.id,"Jl. Otto Iskandardinata No. 624, Langsa, JT 93279",Laki-Laki,Dumai,1991-05-19,2289
10000081,"Cawisadi Usada, S.Ked",2025-11-07,+62 (0763) 326 ,klien81_cold-add-success@ud.net,"Jalan Kendalsari No. 6, Tangerang, Kepulauan Bangka Belitung 60310",Wanita,Batu,1975-02-22,6192
10000082,H. Kurnia Widodo,2024-10-17,+62 (035) 594 2,klien82_left-base-nice-beat@pd.edu,"Gang W.R. Supratman No. 097, Padang Sidempuan, Sulawesi Selatan 28576",Laki-Laki,Serang,1991-04-09,3749
10000083,"Bakidin Maulana, S.Psi",2023-01-13,082 493 0915,klien83_somebody-later@ud.go.id,"Jalan Rajawali Barat No. 150, Bitung, SS 05082",Wanita,Semarang,1968-03-08,9937
10000084,dr. Oskar Marbun,2026-09-21,+62 (0815) 540-,klien84_fact-claim-consider@pt.gov,"Gang Wonoayu No. 2, Sorong, Sulawesi Selatan 79744",Wanita,Medan,1961-09-26,9041
10000085,Drs. Rina Suryatmi,2023-02-10,+62-0811-245-76,klien85_occur-science@ud.desa.id,"Jl. Moch. Ramdan No. 45, Depok, KR 24749",Wanita,Padang,1968-12-01,9496
10000086,Ir. Dariati Hutasoit,2025-03-27,(0002) 120-6708,klien86_care-actually@perum.mil,"Gg. Waringin No. 441, Makassar, Sulawesi Selatan 26145",Laki-Laki,Tomohon,1969-01-01,6790
10000087,Cengkal Nugroho,2025-12-26,(041) 448-1814,klien87_his-thus-trial-from@pd.org,"Jalan H.J Maemunah No. 5, Surakarta, Riau 90193",Wanita,Kota Administrasi Jakarta Pusat,1963-01-01,1446
10000088,"Candra Siregar, S.Kom",2025-03-04,+62 (004) 349-0,klien88_skill-just-kind@pd.net,"Gg. Dipenogoro No. 9, Batu, Papua 32232",Wanita,Makassar,1988-07-06,2152
10000089,drg. Rahmi Thamrin,2024-02-17,+62 (47) 929 55,klien89_chair-concern@ud.web.id,"Jl. W.R. Supratman No. 4, Tegal, Sumatera Barat 09356",Wanita,Singkawang,1968-03-29,2917
10000090,Unggul Wibowo,2023-03-14,(058) 899-6231,klien90_stage-behind-listen@pt.org,"Gang Setiabudhi No. 832, Palopo, SU 28911",Laki-Laki,Kota Administrasi Jakarta Barat,2000-12-16,4105
10000091,Titi Hutagalung,2023-01-29,(036) 610-4773,klien91_much-skin-line-type@pd.net.id,"Jalan KH Amin Jasuta No. 415, Tebingtinggi, YO 70912",Laki-Laki,Mataram,2004-07-29,6092
10000092,"Dt. Luthfi Mulyani, S.Pd",2026-06-19,+62 (0556) 947 ,klien92_within-compare-just@pd.edu,"Jl. Surapati No. 9, Madiun, Jambi 22029",Laki-Laki,Palangkaraya,1962-05-09,9149
10000093,Jasmin Sihombing,2026-10-22,+62 (048) 808-6,klien93_democrat-a-say-see@perum.my.id,"Gang Yos Sudarso No. 7, Tarakan, JI 77470",Laki-Laki,Payakumbuh,1961-03-25,5605
10000094,Yani Agustina,2025-04-22,+62 (087) 215 8,klien94_learn-visit-society@cv.org,"Jl. PHH. Mustofa No. 01, Bukittinggi, JI 24389",Laki-Laki,Serang,1997-02-06,7351
10000095,"Kardi Farida, S.Pt",2026-07-08,+62 (65) 421-65,klien95_direction-stand@cv.sch.id,"Jl. Pacuan Kuda No. 5, Surakarta, SU 58564",Wanita,Tebingtinggi,1972-04-27,6270
10000096,Umaya Najmudin,2024-02-08,+62-68-286-5042,klien96_check-say-like@pt.org,"Gang PHH. Mustofa No. 27, Depok, Maluku Utara 55750",Laki-Laki,Banda Aceh,1970-05-03,7052
10000097,Amalia Hasanah,2023-04-28,+62 (0852) 980 ,klien97_check-possible@perum.org,"Gang Rajiman No. 1, Pontianak, SU 85203",Wanita,Pontianak,1979-01-15,2938
10000098,"Puti Fathonah Lailasari, S.Gz",2023-12-15,(019) 393 0704,klien98_citizen-research@perum.com,"Gang Ciumbuleuit No. 4, Bengkulu, Maluku Utara 88141",Wanita,Meulaboh,1960-07-21,1118
10000099,"Padma Nasyiah, S.Farm",2024-12-19,(0175) 790 7984,klien99_couple-level@pd.or.id,"Jl. Waringin No. 235, Kota Administrasi Jakarta Timur, GO 17694",Laki-Laki,Kendari,1970-07-13,8108
10000100,Ika Mansur,2025-06-23,+62 (145) 134 2,klien100_sign-professor@ud.com,"Jl. Setiabudhi No. 37, Sungai Penuh, PA 00998",Laki-Laki,Kota Administrasi Jakarta Barat,1996-07-07,855
10000101,"Latif Hutagalung, M.M.",2026-06-08,+62-89-341-8426,klien101_manager-tend-always@perum.com,"Gang Suryakencana No. 4, Payakumbuh, Sulawesi Tenggara 45733",Wanita,Pariaman,1988-03-23,1862
10000102,Wadi Winarsih,2025-09-16,(065) 554-4779,klien102_television-listen@pd.mil,"Jalan Tebet Barat Dalam No. 04, Pekanbaru, YO 55130",Laki-Laki,Tasikmalaya,1995-04-09,1189
10000103,Nugraha Kusumo,2026-04-24,+62 (541) 027-5,klien103_very-get-risk@perum.my.id,"Jl. Ciwastra No. 172, Jambi, PA 52846",Wanita,Bau-Bau,1961-12-11,6441
10000104,"Dr. Intan Permadi, S.T.",2025-02-11,+62 (0446) 374 ,klien104_purpose-year-mother@pd.web.id,"Gg. Ahmad Yani No. 00, Sorong, BA 83191",Wanita,Subulussalam,1976-01-31,9927
10000105,Talia Napitupulu,2024-12-30,(0164) 469 6111,klien105_life-perform-light@pt.desa.id,"Jalan Dipatiukur No. 0, Pekanbaru, JA 98107",Laki-Laki,Kota Administrasi Jakarta Selatan,1993-03-10,6064
10000106,Warsa Suryono,2025-08-27,083 650 5240,klien106_area-arrive-radio@pd.edu,"Gang Tubagus Ismail No. 86, Bontang, Gorontalo 93478",Wanita,Mataram,2000-06-27,6606
10000107,Muhammad Usada,2026-06-23,084 808 7571,klien107_character-until@cv.desa.id,"Gang Pasteur No. 115, Tomohon, LA 33513",Wanita,Samarinda,1965-10-24,5951
10000108,"Alambana Mangunsong, S.Gz",2024-06-22,+62 (18) 716 22,klien108_fear-outside@perum.mil,"Jl. Rajiman No. 51, Kota Administrasi Jakarta Timur, JK 40945",Wanita,Banjarmasin,1989-09-30,7810
10000109,Agnes Agustina,2025-12-14,(0239) 093 3429,klien109_pull-class-simply@pd.mil.id,"Jalan Ir. H. Djuanda No. 1, Cimahi, LA 79995",Laki-Laki,Dumai,1995-03-15,1085
10000110,"R. Elon Nasyidah, M.Pd",2026-09-15,+62-0931-467-93,klien110_ball-audience-race@pt.web.id,"Gang Pasir Koja No. 36, Tegal, Papua 51726",Laki-Laki,Padangpanjang,2000-06-12,3498
10000111,Nadia Firgantoro,2026-11-06,+62-945-703-273,klien111_low-coach-without@ud.int,"Jalan Dipenogoro No. 6, Kota Administrasi Jakarta Timur, KS 55209",Laki-Laki,Bengkulu,2003-07-24,6485
10000112,"Kawaca Astuti, S.E.I",2025-03-13,0804574583,klien112_work-vote-interview@perum.com,"Jl. Pasir Koja No. 262, Surabaya, Lampung 53242",Laki-Laki,Probolinggo,1970-02-06,4167
10000113,Raina Nasyidah,2025-03-17,+62-0327-344-52,klien113_between-because@perum.mil,"Jl. Ir. H. Djuanda No. 5, Kotamobagu, AC 17368",Wanita,Padangpanjang,1977-02-14,648
10000114,Betania Mayasari,2023-11-18,+62 (098) 887 7,klien114_several-find-far@cv.sch.id,"Jl. Abdul Muis No. 18, Kota Administrasi Jakarta Utara, PB 61891",Wanita,Cirebon,1993-10-07,992
10000115,Jane Gunarto,2026-05-01,+62 (60) 868 05,klien115_goal-performance@perum.int,"Jalan Ahmad Yani No. 4, Banjarbaru, Papua Barat 03587",Laki-Laki,Pariaman,1967-07-27,210
10000116,"Yosef Susanti, M.Farm",2024-03-21,+62 (16) 440-19,klien116_protect-health@ud.edu,"Jl. Raya Ujungberung No. 896, Blitar, KI 01835",Laki-Laki,Denpasar,1967-04-03,5549
10000117,"Tgk. Ade Manullang, S.Farm",2024-12-19,+62-027-359-241,klien117_career-manage@perum.ac.id,"Jl. Sadang Serang No. 230, Cilegon, Lampung 20499",Laki-Laki,Batam,2000-03-01,738
10000118,Prabu Suryono,2023-06-25,+62 (096) 115 9,klien118_guy-million-allow@ud.net,"Gg. Rungkut Industri No. 4, Manado, Bengkulu 57353",Laki-Laki,Madiun,1997-07-24,4277
10000119,"Jaiman Ramadan, M.M.",2025-12-11,+62 (0080) 864-,klien119_example-miss@pt.web.id,"Gg. Indragiri No. 558, Payakumbuh, Papua Barat 90344",Wanita,Tasikmalaya,1976-07-30,9329
10000120,"drg. Timbul Tampubolon, S.H.",2023-04-11,(010) 236 5590,klien120_candidate-partner@pt.com,"Jalan Rumah Sakit No. 7, Pekalongan, GO 96310",Wanita,Lhokseumawe,1993-08-02,3656
10000121,Ajiman Halim,2026-12-09,+62 (0177) 425-,klien121_begin-record@pd.edu,"Gang H.J Maemunah No. 1, Kota Administrasi Jakarta Barat, BB 14730",Laki-Laki,Parepare,1964-06-20,671
10000122,"Syahrini Sirait, S.IP",2026-06-18,+62 (01) 652 75,klien122_where-several-open@ud.biz.id,"Jl. Gegerkalong Hilir No. 3, Tanjungpinang, JB 83563",Wanita,Bima,1972-09-28,7400
10000123,"H. Najib Maryadi, S.IP",2024-09-03,+62-57-480-3879,klien123_yeah-fast-almost@pt.or.id,"Gg. Jend. A. Yani No. 5, Sungai Penuh, DKI Jakarta 37640",Wanita,Cilegon,1971-02-02,3465
10000124,Farhunnisa Wijaya,2023-07-03,0819206316,klien124_certain-probably@pt.my.id,"Gg. Gardujati No. 4, Depok, PA 77208",Wanita,Kediri,1991-01-19,957
10000125,"Harsanto Hassanah, S.E.I",2026-03-27,0827075624,klien125_remain-be-place@ud.co.id,"Jalan Sukajadi No. 7, Ambon, BA 77821",Wanita,Jambi,1962-09-13,92
10000126,Clara Widodo,2023-03-24,+62-80-346-9822,klien126_dream-open-human@pt.or.id,"Gang Cihampelas No. 032, Tebingtinggi, Kalimantan Utara 86241",Laki-Laki,Samarinda,1974-01-11,3887
10000127,Omar Sitompul,2026-06-11,(071) 966-0075,klien127_hospital-base@cv.sch.id,"Jalan Pasteur No. 0, Sabang, Sumatera Selatan 31657",Wanita,Bandar Lampung,1976-10-16,660
10000128,Lukita Tampubolon,2024-12-07,+62 (0347) 869 ,klien128_continue-current@pd.mil.id,"Gang Cikapayang No. 6, Bogor, JK 50737",Laki-Laki,Probolinggo,1970-02-02,4707
10000129,"Zulaikha Marpaung, S.H.",2025-08-15,+62-076-713-530,klien129_begin-hundred-south@pd.ponpes.id,"Jalan Bangka Raya No. 2, Surabaya, Sulawesi Utara 80036",Laki-Laki,Palembang,2004-03-07,5192
10000130,Kuncara Hidayanto,2025-08-05,+62-945-383-663,klien130_blood-even-effort@perum.sch.id,"Gang PHH. Mustofa No. 946, Banjarbaru, JA 10852",Wanita,Sabang,1968-05-03,9855
