Penagihan_ID,NIK,LH_ID,Kasus_ID,Staf_ID,Tgl_Penagihan,Status_Penagihan,Tgl_Bayar,Biaya_Admin,Biaya_PendaftaranPgd,Biaya_SalinanPts,Biaya_Layanan_Hukum
700211,10008791,5881,500211,250,2026-07-01,Lunas,2026-08-10,30000,776150,100000,5499000
700212,10001323,4187,500212,966,2026-07-01,Belum Lunas,,75000,12533218,20000,1853000
700213,10003932,1896,500213,953,2025-10-19,Lunas,2025-11-09,30000,3709552,50000,13569000
700214,10005744,8074,500214,254,2026-10-31,Lunas,2026-12-14,20000,4753240,20000,44090000
700215,10006732,1166,500215,338,2026-01-16,Belum Lunas,,20000,12785965,10000,30415000
700216,10007222,9567,500216,169,2026-12-24,Lunas,2027-01-02,30000,12138616,20000,14906000
700217,10005892,2566,500217,100,2026-04-01,Lunas,2026-04-15,20000,3255714,100000,8614000
700218,10005607,7359,500218,437,2025-04-12,Sebagian,2025-05-06,30000,2257643,100000,31349000
700219,10005288,3872,500219,947,2026-07-31,Lunas,2026-09-14,75000,9713776,10000,6290000
700220,10004760,1815,500220,751,2024-05-02,Belum Lunas,,50000,11940352,20000,38392000
700221,10005057,1812,500221,499,2026-07-13,Lunas,2026-09-05,30000,3288685,10000,73951000
700222,10001539,9229,500222,810,2025-02-15,Lunas,2025-03-14,75000,13144334,10000,43747000
700223,10006428,5872,500223,403,2026-07-07,Lunas,2026-07-12,50000,8066323,20000,8938000
700224,10007817,1598,500224,400,2025-08-25,Lunas,2025-10-21,30000,10871572,100000,12368000
700225,10006535,6686,500225,479,2026-09-18,Sebagian,2026-10-26,75000,4047531,50000,9970000
700226,10009111,8210,500226,517,2026-05-02,Belum Lunas,,75000,10620805,100000,2651000
700227,10003311,8487,500227,797,2025-10-07,Lunas,2025-11-07,75000,6121530,100000,11910000
700228,10006704,9855,500228,705,2026-12-24,Lunas,2027-01-17,20000,1324911,20000,18915000
700229,10005892,2566,500229,341,2026-08-20,Lunas,2026-08-23,20000,14907602,50000,8614000
700230,10007003,9126,500230,709,2025-08-21,Lunas,2025-09-13,20000,3056166,50000,10379000
700231,10002552,1682,500231,576,2025-12-01,Lunas,2026-01-10,75000,1711843,20000,14413000
700232,10000046,8495,500232,984,2026-12-15,Lunas,2027-01-05,50000,5862765,20000,5747000
700233,10009470,8000,500233,412,2026-06-08,Lunas,2026-06-17,50000,579587,10000,10130000
700234,10002235,9530,500234,332,2026-12-23,Lunas,2027-02-19,75000,9946465,100000,5924000
700235,10009608,8371,500235,226,2026-07-20,Belum Lunas,,20000,12094351,10000,1991000
700236,10003929,2213,500236,672,2026-11-18,Lunas,2027-01-15,30000,7890131,100000,20962000
700237,10005359,3924,500237,793,2025-06-09,Sebagian,2025-07-12,50000,7535637,10000,21102000
700238,10009191,910,500238,601,2026-08-31,Belum Lunas,,20000,10424722,20000,13194000
700239,10009539,3864,500239,982,2025-06-29,Sebagian,2025-07-21,75000,6995549,50000,13208000
700240,10002262,1222,500240,627,2026-01-26,Lunas,2026-02-03,20000,13620048,100000,1279000
700241,10006799,549,500241,334,2026-09-10,Lunas,2026-10-08,20000,9499023,100000,47219000
700242,10006165,7218,500242,495,2026-11-17,Lunas,2027-01-15,50000,8988564,20000,73844000
700243,10000278,5715,500243,565,2025-11-04,Belum Lunas,,20000,13742571,50000,73478000
700244,10009485,3688,500244,123,2026-09-06,Lunas,2026-10-31,50000,7796451,20000,2535000
700245,10005057,1812,500245,582,2026-11-30,Sebagian,2026-12-04,50000,13158155,20000,73951000
700246,10007705,1226,500246,327,2024-11-17,Belum Lunas,,50000,3206243,10000,37885000
700247,10001775,8594,500247,419,2025-10-04,Lunas,2025-10-06,30000,2630722,50000,4021000
700248,10001347,1675,500248,959,2026-06-14,Lunas,2026-07-16,75000,4430433,100000,11314000
700249,10002420,2470,500249,668,2026-11-24,Lunas,2026-11-29,50000,8705285,50000,73056000
700250,10004359,6739,500250,261,2026-12-24,Lunas,2026-12-24,75000,13914877,50000,40144000
700251,10004878,1047,500251,528,2026-02-05,Sebagian,2026-02-28,20000,5507329,50000,8561000
700252,10003738,309,500252,734,2025-07-20,Lunas,2025-08-02,30000,11221823,10000,8626000
700253,10008163,9480,500253,345,2026-04-24,Lunas,2026-05-15,30000,8127789,100000,14149000
700254,10002642,3438,500254,927,2026-12-26,Lunas,2027-01-15,75000,8110794,100000,4226000
700255,10006366,7522,500255,900,2026-10-06,Belum Lunas,,30000,2244505,20000,11573000
700256,10002867,3410,500256,195,2026-06-20,Lunas,2026-08-10,30000,6526027,10000,2124000
700257,10002116,1082,500257,984,2026-09-30,Belum Lunas,,20000,13493057,20000,8000000
700258,10001912,1509,500258,14,2025-09-14,Sebagian,2025-09-23,75000,7281150,10000,12292000
700259,10003761,4085,500259,618,2026-10-06,Lunas,2026-10-10,30000,4575386,20000,12674000
700260,10007655,3814,500260,71,2024-04-06,Lunas,2024-05-14,30000,9719656,100000,13195000
700261,10007442,1956,500261,739,2026-08-16,Belum Lunas,,30000,1024746,50000,1026000
700262,10005822,4172,500262,679,2026-09-30,Lunas,2026-11-01,75000,4908246,100000,2549000
700263,10000947,7562,500263,106,2026-04-30,Belum Lunas,,75000,2684977,20000,3271000
700264,10006268,5644,500264,163,2026-04-16,Lunas,2026-05-14,30000,11413566,100000,6020000
700265,10004338,9472,500265,361,2026-01-16,Lunas,2026-02-14,50000,4667127,50000,9763000
700266,10008442,1628,500266,381,2024-06-16,Belum Lunas,,75000,14756121,20000,1685000
700267,10006349,1140,500267,932,2025-03-27,Lunas,2025-05-23,30000,10605114,100000,42819000
700268,10008206,5575,500268,703,2026-12-21,Lunas,2027-01-26,75000,3161106,100000,1101000
700269,10001635,7768,500269,684,2026-09-24,Lunas,2026-10-14,30000,5409745,10000,50973000
700270,10006607,8327,500270,484,2024-03-06,Lunas,2024-04-09,30000,10110968,10000,4080000
700271,10009493,7533,500271,569,2026-11-09,Lunas,2026-12-18,20000,2863334,10000,11435000
700272,10005068,1660,500272,352,2026-11-06,Belum Lunas,,50000,8344129,50000,1262000
700273,10000365,8035,500273,102,2026-09-12,Lunas,2026-09-20,30000,7694266,100000,9295000
700274,10000004,258,500274,312,2026-09-05,Lunas,2026-09-21,75000,3134187,50000,1023000
700275,10008306,6698,500275,230,2025-11-01,Belum Lunas,,50000,13952388,20000,2400000
700276,10006298,3019,500276,17,2026-01-11,Belum Lunas,,75000,9696460,100000,21367000
700277,10007384,2659,500277,631,2024-05-30,Belum Lunas,,50000,8097989,10000,13909000
700278,10006276,6980,500278,191,2025-03-04,Lunas,2025-04-09,50000,1844223,100000,14705000
700279,10006809,4686,500279,719,2025-02-16,Lunas,2025-03-09,30000,6544397,50000,3549000
700280,10003030,9234,500280,870,2025-12-29,Lunas,2026-01-25,30000,13255226,100000,1241000
700281,10008172,7699,500281,212,2023-06-26,Sebagian,2023-07-21,50000,5400830,20000,3688000
700282,10007971,7883,500282,562,2025-10-30,Belum Lunas,,75000,1713728,100000,11000000
700283,10008441,7222,500283,200,2026-08-01,Sebagian,2026-08-27,50000,7033816,20000,8207000
700284,10006959,1603,500284,227,2026-11-24,Belum Lunas,,30000,11092902,10000,11809000
700285,10001672,7172,500285,329,2024-11-21,Sebagian,2024-11-23,50000,13468450,100000,2117000
700286,10007507,5639,500286,910,2026-08-24,Belum Lunas,,50000,8864813,100000,65867000
700287,10005074,5310,500287,43,2025-06-17,Lunas,2025-07-14,20000,11089687,50000,35450000
700288,10000987,2717,500288,9,2026-11-14,Lunas,2027-01-12,30000,12903877,10000,61659000
700289,10007678,6096,500289,790,2024-08-11,Lunas,2024-08-18,75000,13460771,50000,31412000
700290,10005131,1390,500290,905,2026-06-10,Lunas,2026-06-28,20000,12543928,50000,9711000
700291,10003030,9234,500291,223,2026-03-13,Belum Lunas,,75000,11082247,50000,1241000
