Staf_ID,Nama_Staf,Tgl_Bgb_Staf,No_Tlp_Staf,Email_Staf,Tgl_lhr_Staf,Gender_Staf,Tp_Lhr_Staf,Alamat_Staf
48,"Ilsa Hidayat, S.Gz",2025-11-29,+62-39-608-6799,staf48_take-who-occur@pt.net,1985-04-06,Laki-Laki,Banjar,"Gang Kendalsari No. 7, Tidore Kepulauan, Jawa Barat 91585"
49,Cici Saragih,2024-04-13,+62 (665) 654 8,staf49_back-get-rise-best@pd.mil,2004-04-14,Wanita,Pagaralam,"Jl. Tebet Barat Dalam No. 81, Pematangsiantar, SG 58009"
50,drg. Queen Sihombing,2025-03-16,+62 (0686) 437 ,staf50_describe-red@pd.net.id,1988-01-20,Laki-Laki,Bontang,"Jl. Sukabumi No. 727, Tanjungbalai, JI 78095"
51,Puput Tampubolon,2025-05-13,+62 (649) 925 1,staf51_lose-culture-apply@pt.ac.id,2000-05-04,Laki-Laki,Palangkaraya,"Jalan Cihampelas No. 13, Samarinda, Maluku 73898"
52,Jati Sihotang,2025-09-27,0856754520,staf52_fly-court-school@cv.mil,1995-12-28,Wanita,Singkawang,"Jalan Ciumbuleuit No. 314, Kota Administrasi Jakarta Barat, BA 16171"
53,Gasti Pertiwi,2025-05-22,+62 (66) 330-97,staf53_difference-argue@perum.sch.id,1997-07-20,Wanita,Purwokerto,"Jl. Kutai No. 76, Padangpanjang, Kalimantan Tengah 52539"
54,Timbul Hariyah,2025-11-26,+62 (018) 088-5,staf54_product-find@pt.gov,1985-02-28,Laki-Laki,Bima,"Gg. Siliwangi No. 460, Tangerang Selatan, DI Yogyakarta 08156"
55,Calista Saptono,2024-09-25,+62 (0891) 230-,staf55_accept-along-in@pt.co.id,1993-10-16,Wanita,Ternate,"Jl. HOS. Cokroaminoto No. 3, Banda Aceh, Papua Barat 02353"
56,Gambira Wulandari,2024-06-25,+62-066-373-636,staf56_lot-describe-level@perum.web.id,1993-08-09,Wanita,Pagaralam,"Gg. R.E Martadinata No. 2, Sibolga, Sulawesi Barat 91230"
57,"Septi Kusmawati, S.Kom",2024-02-14,+62-005-854-472,staf57_trouble-participant@ud.go.id,2001-08-03,Laki-Laki,Meulaboh,"Jl. Laswi No. 8, Tarakan, LA 38989"
58,Koko Mustofa,2025-10-14,+62 (0539) 421 ,staf58_any-kitchen-many@perum.biz.id,1994-09-07,Laki-Laki,Serang,"Jalan KH Amin Jasuta No. 11, Gorontalo, SU 91965"
59,"Kamila Sudiati, M.Farm",2025-03-31,+62 (0037) 029 ,staf59_realize-kitchen@perum.ac.id,1998-07-12,Laki-Laki,Mojokerto,"Jl. Pasir Koja No. 0, Dumai, Sulawesi Tengah 59656"
60,Paramita Simanjuntak,2025-05-16,(042) 438 7452,staf60_nearly-popular@ud.sch.id,2000-07-29,Wanita,Bima,"Gg. BKR No. 056, Denpasar, MA 51718"
61,"Yani Widiastuti, M.TI.",2024-02-08,+62 (796) 127 2,staf61_per-travel-visit@pt.net.id,1985-12-15,Laki-Laki,Banjarmasin,"Gg. Indragiri No. 045, Blitar, Bali 93683"
62,T. Ian Saptono,2024-04-25,+62-034-028-974,staf62_option-mrs-start@ud.biz.id,1999-10-30,Wanita,Batu,"Gang Cikapayang No. 79, Bitung, SU 72973"
63,Jumari Setiawan,2024-07-26,+62-39-948-2725,staf63_paper-positive-hand@cv.mil.id,1998-01-13,Laki-Laki,Tomohon,"Jalan Surapati No. 022, Tomohon, BA 30569"
64,Karen Hidayanto,2025-09-25,+62 (095) 451-7,staf64_return-now-magazine@pd.co.id,1989-04-12,Wanita,Cilegon,"Jalan Surapati No. 3, Parepare, BB 44286"
65,Hasan Safitri,2025-06-01,+62 (849) 451-0,staf65_approach-movie-big@pt.my.id,1997-10-26,Laki-Laki,Surabaya,"Gg. Cikutra Timur No. 05, Lhokseumawe, Sulawesi Barat 73006"
66,Hasna Halim,2024-04-29,+62-95-727-7425,staf66_see-such-simple@pd.mil.id,1997-11-18,Laki-Laki,Pematangsiantar,"Jl. Pasteur No. 3, Manado, KU 00925"
67,Gina Pratiwi,2025-02-28,+62 (053) 605-4,staf67_dream-book-hair@ud.sch.id,1990-05-03,Laki-Laki,Banjarmasin,"Jl. Astana Anyar No. 6, Bima, KS 76621"
68,Mila Mandala,2025-07-08,+62-77-008-4736,staf68_free-seat-hour-mean@cv.org,1993-02-25,Wanita,Medan,"Jalan Rajawali Barat No. 4, Sibolga, Riau 28571"
69,"Syahrini Hassanah, S.I.Kom",2025-12-17,+62 (000) 173-4,staf69_store-subject-nor@cv.ponpes.id,2000-12-22,Laki-Laki,Tanjungpinang,"Gang Tebet Barat Dalam No. 3, Tebingtinggi, KS 46142"
70,Galih Mandasari,2024-12-23,+62 (28) 660 71,staf70_wide-career-someone@pt.mil.id,2001-07-24,Laki-Laki,Lubuklinggau,"Gg. Cikutra Timur No. 75, Palu, GO 11639"
71,Eja Siregar,2024-05-17,+62 (0284) 584 ,staf71_oil-some-fill-such@pt.org,2002-06-13,Laki-Laki,Sibolga,"Jl. Rajawali Barat No. 412, Pangkalpinang, Sulawesi Tengah 22384"
72,Amalia Yuliarti,2025-02-06,(0623) 937-1527,staf72_moment-box-agent@cv.net,1994-12-12,Laki-Laki,Pangkalpinang,"Gg. Sukajadi No. 62, Prabumulih, Nusa Tenggara Barat 81722"
73,Hafshah Siregar,2025-06-05,0837662911,staf73_weight-value-budget@pd.web.id,2003-06-26,Laki-Laki,Bau-Bau,"Gang Siliwangi No. 608, Tidore Kepulauan, SU 52083"
74,Anom Rajasa,2024-05-27,+62-16-017-2468,staf74_enough-front-ago@cv.net,1989-01-02,Laki-Laki,Jambi,"Gg. M.H Thamrin No. 405, Bukittinggi, KU 14913"
75,Silvia Maryati,2024-09-23,(0609) 571-5824,staf75_hear-recent-program@ud.ponpes.id,1987-02-04,Laki-Laki,Cilegon,"Jalan Waringin No. 628, Batu, Jawa Barat 30861"
76,Ghaliyati Wasita,2025-04-15,+62 (032) 472 7,staf76_cost-cover-edge@cv.desa.id,1989-08-09,Wanita,Bandung,"Gg. Otto Iskandardinata No. 78, Samarinda, Bali 71098"
77,Novi Wahyuni,2025-10-02,+62-0751-997-66,staf77_again-note-watch@pd.int,2004-10-15,Laki-Laki,Sawahlunto,"Gg. Otto Iskandardinata No. 97, Cimahi, KT 26152"
78,R. Najwa Permata,2024-10-01,+62 (55) 132 12,staf78_sort-itself-issue@pt.id,1998-11-06,Wanita,Palopo,"Jalan Rajawali Timur No. 27, Ambon, Kalimantan Barat 99762"
79,Salimah Saputra,2024-10-31,(022) 750 4308,staf79_different-center@pd.gov,1985-06-07,Laki-Laki,Bandung,"Gg. Rajawali Barat No. 4, Banjarmasin, JK 44065"
80,Fitriani Marpaung,2025-02-17,(071) 598-3136,staf80_theory-leader-enter@pd.int,2001-03-19,Wanita,Banjarmasin,"Gang S. Parman No. 6, Metro, JI 06816"
81,"R.A. Ulya Yuliarti, S.Sos",2025-10-26,+62-0838-690-09,staf81_cover-occur-product@ud.mil.id,1992-12-21,Laki-Laki,Tanjungpinang,"Gang Laswi No. 620, Tidore Kepulauan, KB 73588"
82,Drs. Ratna Saragih,2025-05-06,+62 (52) 661-04,staf82_their-worry-energy@pt.com,1996-06-26,Laki-Laki,Tebingtinggi,"Gang Dipatiukur No. 035, Denpasar, Sulawesi Utara 54715"
83,Patricia Firgantoro,2024-07-02,+62 (070) 059 7,staf83_specific-voice@cv.net,1991-12-14,Wanita,Meulaboh,"Gang Ronggowarsito No. 99, Tidore Kepulauan, SR 39844"
84,"R.A. Alika Wacana, S.Pt",2025-11-23,+62 (17) 501 01,staf84_staff-author-cold@pt.desa.id,1987-09-28,Wanita,Padang,"Jl. Otto Iskandardinata No. 07, Prabumulih, MU 58681"
85,Jefri Padmasari,2024-06-06,+62 (88) 561-36,staf85_someone-admit@perum.biz.id,1995-10-30,Wanita,Tasikmalaya,"Gang Tubagus Ismail No. 63, Kota Administrasi Jakarta Timur, NB 98693"
86,Olga Nababan,2025-12-06,+62 (967) 698-0,staf86_near-campaign@ud.go.id,1988-06-15,Wanita,Bekasi,"Jl. Joyoboyo No. 568, Lhokseumawe, NB 80613"
87,"Gaduh Damanik, S.H.",2025-11-25,+62-521-100-111,staf87_ground-remember@pt.or.id,1994-02-24,Laki-Laki,Kotamobagu,"Gang Waringin No. 809, Kendari, Sumatera Utara 24342"
88,Indra Farida,2025-12-23,+62 (65) 474 99,staf88_dream-agree-throw@pd.co.id,1986-08-08,Wanita,Tarakan,"Gang Ir. H. Djuanda No. 151, Malang, Bali 29241"
89,Cahya Budiman,2024-04-25,0831155521,staf89_people-also@perum.web.id,2002-10-20,Wanita,Kota Administrasi Jakarta Timur,"Gg. Jend. Sudirman No. 68, Pangkalpinang, Sulawesi Utara 30679"
90,Muni Astuti,2024-09-18,+62 (52) 698-79,staf90_still-kitchen@perum.id,1986-03-29,Laki-Laki,Palembang,"Jl. Wonoayu No. 687, Ternate, Sulawesi Barat 14584"
91,Cemani Zulkarnain,2024-04-16,(077) 833-8898,staf91_over-test-anything@pd.ponpes.id,1986-02-27,Laki-Laki,Purwokerto,"Gang Ahmad Yani No. 08, Banda Aceh, Maluku 79134"
92,"drg. Salimah Zulkarnain, M.Kom.",2025-08-02,+62-075-356-519,staf92_those-expect@pd.com,2004-02-16,Wanita,Makassar,"Gang Cikapayang No. 28, Meulaboh, AC 58173"
93,Titin Salahudin,2025-04-22,(087) 049 9792,staf93_station-question@pt.edu,1987-10-30,Wanita,Bandar Lampung,"Gang Wonoayu No. 677, Balikpapan, Nusa Tenggara Timur 59329"
94,Martana Widodo,2024-04-30,+62 (711) 709 1,staf94_suddenly-society@pt.ac.id,2000-03-13,Laki-Laki,Malang,"Gang Kendalsari No. 90, Ambon, Kepulauan Bangka Belitung 85521"
95,"Winda Maryadi, M.M.",2024-07-04,+62 (0993) 219 ,staf95_generation-expect@pt.desa.id,1994-03-14,Wanita,Bau-Bau,"Jalan Moch. Ramdan No. 4, Padang Sidempuan, Sulawesi Barat 31433"
96,"Rahmat Handayani, S.E.",2025-01-13,+62-30-660-3445,staf96_financial-medical@pd.com,1990-07-14,Wanita,Jayapura,"Jl. Soekarno Hatta No. 680, Malang, Banten 61129"
97,"Luwes Maulana, M.M.",2024-03-15,(065) 578-0983,staf97_as-happen-by-main@ud.mil,1997-01-29,Wanita,Tasikmalaya,"Gg. Ahmad Yani No. 36, Malang, Jawa Barat 46723"
98,Fitria Rahimah,2025-02-04,+62-0947-663-45,staf98_capital-actually@perum.net.id,2003-06-09,Laki-Laki,Jayapura,"Gg. W.R. Supratman No. 668, Kediri, Kalimantan Tengah 18002"
99,Intan Laksmiwati,2025-06-06,+62 (22) 548 35,staf99_investment@pd.ac.id,1986-02-13,Laki-Laki,Batam,"Gg. Sukajadi No. 525, Tanjungpinang, Kepulauan Bangka Belitung 99572"
100,Jane Hassanah,2024-06-11,(0419) 855 2098,staf100_move-believe@perum.co.id,1990-06-26,Laki-Laki,Sukabumi,"Jl. Ronggowarsito No. 45, Cirebon, SS 41586"
101,Ayu Mulyani,2025-10-05,0824085128,staf101_scene-see-so-system@ud.int,1985-11-15,Laki-Laki,Kediri,"Jalan Rumah Sakit No. 0, Pekanbaru, Aceh 12654"
102,Nyoman Suryatmi,2024-03-12,+62-40-432-4907,staf102_stop-film-pick@perum.web.id,1988-11-02,Wanita,Bukittinggi,"Gg. Rajawali Timur No. 054, Madiun, NT 44154"
103,"Febi Marbun, S.E.I",2025-03-22,+62 (37) 611 49,staf103_white-happy-cost@perum.or.id,1988-08-04,Wanita,Semarang,"Gg. Dipatiukur No. 60, Tidore Kepulauan, Gorontalo 11540"
104,Rafid Wibowo,2025-05-21,+62 (38) 550 86,staf104_culture-work-large@pd.id,1997-04-17,Laki-Laki,Purwokerto,"Gang Joyoboyo No. 9, Palu, Kalimantan Selatan 63790"
105,Padma Wastuti,2025-12-29,+62 (29) 994 11,staf105_lose-give-final-her@pd.int,1991-08-18,Laki-Laki,Cilegon,"Jalan Antapani Lama No. 881, Banjarbaru, SU 42494"
106,Yoga Kuswandari,2024-04-16,+62 (024) 862-5,staf106_water-and-poor@cv.desa.id,2000-06-28,Wanita,Bukittinggi,"Jl. Veteran No. 70, Cirebon, Papua 78765"
107,Titi Palastri,2025-03-23,+62 (0530) 258-,staf107_north-blue-degree@pd.ac.id,1996-05-26,Wanita,Depok,"Gang Stasiun Wonokromo No. 55, Padang, SN 33612"
108,"KH. Dartono Uyainah, M.TI.",2024-02-28,+62-472-809-424,staf108_major-increase@perum.ponpes.id,1985-03-30,Laki-Laki,Sungai Penuh,"Jl. Jakarta No. 883, Bukittinggi, Aceh 16731"
109,Ir. Ega Tamba,2025-02-23,+62 (028) 217-9,staf109_fish-ever-green@cv.int,1987-09-02,Laki-Laki,Cimahi,"Jalan Jayawijaya No. 72, Ambon, Sumatera Selatan 74230"
110,R.M. Perkasa Nababan,2025-09-23,0853331094,staf110_lose-nation-final@pt.web.id,1996-10-12,Wanita,Kendari,"Gg. Moch. Toha No. 02, Pontianak, JA 72539"
111,Cindy Usada,2025-08-03,+62 (0127) 375 ,staf111_right-business@perum.biz.id,1997-12-29,Wanita,Tangerang,"Jl. W.R. Supratman No. 16, Cimahi, Kepulauan Riau 40997"
112,"Drs. Melinda Salahudin, M.TI.",2025-06-27,+62-0742-506-60,staf112_explain-season@cv.org,1995-11-15,Laki-Laki,Singkawang,"Gg. Asia Afrika No. 03, Palu, KS 96000"
113,dr. Hardana Suryono,2025-11-13,+62-081-324-942,staf113_radio-door-number@pd.net,1986-10-27,Wanita,Bekasi,"Gg. Monginsidi No. 571, Bandung, PA 89894"
114,Daruna Yolanda,2025-08-28,+62 (054) 467-3,staf114_explain-dog-general@ud.edu,1985-11-13,Laki-Laki,Bogor,"Jl. KH Amin Jasuta No. 18, Sorong, Nusa Tenggara Barat 91330"
115,Humaira Palastri,2025-01-13,+62 (080) 648-0,staf115_admit-between@pd.org,1986-09-04,Laki-Laki,Jayapura,"Gang Jayawijaya No. 5, Bukittinggi, SG 94918"
116,"Cut Sadina Yulianti, S.Psi",2024-01-09,(024) 030 1012,staf116_assume-compare-base@pd.biz.id,1992-06-21,Wanita,Cirebon,"Jl. Astana Anyar No. 6, Cilegon, RI 86613"
117,Ophelia Lazuardi,2024-05-13,(077) 786 2505,staf117_community-newspaper@cv.co.id,1987-05-24,Wanita,Jayapura,"Gg. HOS. Cokroaminoto No. 6, Gorontalo, AC 07122"
118,Opung Purnawati,2024-12-03,080 435 4229,staf118_culture-question@pt.my.id,1995-01-02,Wanita,Kota Administrasi Jakarta Selatan,"Jl. Suryakencana No. 6, Salatiga, Sumatera Selatan 70112"
119,Viman Kusmawati,2025-08-05,(050) 649-4207,staf119_during-indeed-still@perum.my.id,1991-01-10,Wanita,Serang,"Jl. Tubagus Ismail No. 02, Padang Sidempuan, DI Yogyakarta 24374"
120,"Tgk. Ophelia Tamba, S.Psi",2025-08-23,+62 (067) 554 3,staf120_research-current@perum.biz.id,2003-11-07,Laki-Laki,Padang,"Jalan Laswi No. 21, Semarang, Kepulauan Bangka Belitung 05604"
121,dr. Luluh Budiyanto,2024-11-22,+62 (15) 388 59,staf121_like-mr-over@perum.id,1992-08-17,Wanita,Pagaralam,"Gang Joyoboyo No. 14, Madiun, JK 08706"
122,Prasetyo Mansur,2024-02-29,088 458 1429,staf122_become-affect@perum.my.id,2001-01-22,Laki-Laki,Lhokseumawe,"Gang Cikapayang No. 8, Lubuklinggau, MU 10934"
123,Diah Wijayanti,2025-07-22,(077) 021 8227,staf123_day-box-end-respond@perum.net.id,1991-03-31,Laki-Laki,Sungai Penuh,"Jalan Laswi No. 321, Meulaboh, GO 01927"
124,"R.M. Virman Hakim, S.IP",2025-09-01,+62 (097) 679 7,staf124_enough-speak-he@pd.or.id,1991-04-20,Wanita,Blitar,"Gang Jend. Sudirman No. 066, Magelang, RI 26141"
125,Ibrahim Saputra,2024-06-24,0809536936,staf125_eat-much-bill-media@cv.desa.id,2003-05-01,Laki-Laki,Bogor,"Jl. W.R. Supratman No. 824, Meulaboh, Nusa Tenggara Barat 08344"
126,"Ir. Kayla Handayani, S.Pt",2024-02-07,0881000288,staf126_set-shake@ud.my.id,1988-09-14,Wanita,Tarakan,"Jalan Tebet Barat Dalam No. 2, Madiun, BT 66673"
127,Eman Novitasari,2025-07-19,+62 (161) 538-2,staf127_significant-arm@ud.co.id,2004-10-26,Wanita,Cimahi,"Jl. Cihampelas No. 257, Palembang, Sulawesi Tenggara 20970"
128,Teddy Aryani,2025-09-15,089 007 9085,staf128_process-high-crime@perum.biz.id,1992-08-05,Wanita,Mojokerto,"Gg. Raya Ujungberung No. 68, Yogyakarta, DI Yogyakarta 23018"
129,Tgk. Yuni Gunarto,2024-02-02,0853289289,staf129_me-service-defense@pd.ponpes.id,2001-05-17,Wanita,Pematangsiantar,"Gang Setiabudhi No. 2, Kota Administrasi Jakarta Pusat, Sulawesi Selatan 53184"
130,Ir. Mila Hakim,2024-10-10,(0771) 794 1211,staf130_floor-ok-movement@pt.web.id,2002-07-13,Wanita,Tanjungbalai,"Jl. Ahmad Yani No. 5, Tebingtinggi, PA 86109"
131,"Drs. Usman Saragih, S.Farm",2025-09-06,+62 (0276) 455-,staf131_quality-around@pd.edu,1996-07-09,Laki-Laki,Batu,"Gang Medokan Ayu No. 16, Pontianak, JT 26783"
132,Cornelia Mandasari,2024-09-04,+62 (0234) 142-,staf132_expect-dark-occur@pd.my.id,1985-09-26,Laki-Laki,Binjai,"Gang Asia Afrika No. 08, Kendari, KB 85545"
133,"Usyi Sihombing, S.H.",2024-10-02,+62 (033) 217 1,staf133_plant-hand-admit@pd.co.id,1994-12-15,Wanita,Tanjungbalai,"Gg. Gedebage Selatan No. 2, Pangkalpinang, Kepulauan Riau 36586"
134,Puput Usada,2024-10-25,+62-16-722-7075,staf134_anyone-pressure@perum.my.id,1991-11-09,Wanita,Denpasar,"Jl. Abdul Muis No. 62, Kediri, NB 97614"
