Kasus_ID,Perkara_Kasus,Deskripsi_Kasus,NIK,Pengacara_ID,Staf_ID,Tgl_Daftar,Tgl_Mulai,Tgl_Selesai,Hasil,Status_Kasus
50039,Bisnis: Wanprestasi,Kasus Bisnis: Wanprestasi No. 50039 untuk NIK 100111,100111,499,639,2024-12-05,2025-08-31,,,Proses
50040,Perdata: Sengketa Tanah,Kasus Perdata: Sengketa Tanah No. 50040 untuk NIK 100351,100351,149,157,2025-07-23,2025-12-12,2025-12-29,Kalah,Selesai
50041,Tata Usaha Negara: Sengketa Izin,Kasus Tata Usaha Negara: Sengketa Izin No. 50041 untuk NIK 100415,100415,641,114,2025-01-26,2025-06-04,,,Proses
50042,Bisnis: Wanprestasi,Kasus Bisnis: Wanprestasi No. 50042 untuk NIK 100275,100275,83,646,2025-09-09,2025-09-09,,,Proses
50043,Tata Usaha Negara: Sengketa Izin,Kasus Tata Usaha Negara: Sengketa Izin No. 50043 untuk NIK 100308,100308,458,715,2024-09-15,2025-09-30,,,Pending
50044,Tata Usaha Negara: Sengketa Izin,Kasus Tata Usaha Negara: Sengketa Izin No. 50044 untuk NIK 100111,100111,410,582,2025-02-17,2025-10-24,2025-12-10,Damai,Selesai
50045,Pidana: Penggelapan,Kasus Pidana: Penggelapan No. 50045 untuk NIK 100579,100579,793,303,2025-01-06,2025-08-24,2025-09-11,Menang,Selesai
50046,Pidana: Penggelapan,Kasus Pidana: Penggelapan No. 50046 untuk NIK 100333,100333,176,612,2025-12-21,2025-12-27,,,Pending
50047,Keluarga: Cerai Gugat,Kasus Keluarga: Cerai Gugat No. 50047 untuk NIK 100556,100556,732,466,2024-10-06,2025-02-28,2025-04-09,Kalah,Selesai
50048,Pidana: Penggelapan,Kasus Pidana: Penggelapan No. 50048 untuk NIK 100834,100834,114,539,2025-06-05,2025-11-16,,,Proses
50049,Perdata: Sengketa Tanah,Kasus Perdata: Sengketa Tanah No. 50049 untuk NIK 100043,100043,508,80,2024-01-19,2025-08-14,,,Proses
50050,Keluarga: Cerai Gugat,Kasus Keluarga: Cerai Gugat No. 50050 untuk NIK 100413,100413,661,35,2025-10-28,2025-12-04,2025-12-24,Menang,Selesai
50051,Perdata: Sengketa Tanah,Kasus Perdata: Sengketa Tanah No. 50051 untuk NIK 100018,100018,129,910,2024-04-24,2025-01-09,2025-05-17,Damai,Selesai
50052,Pidana: Penggelapan,Kasus Pidana: Penggelapan No. 50052 untuk NIK 100847,100847,361,981,2024-03-14,2025-05-07,,,Proses
50053,Hukum Properti: Jual Beli,Kasus Hukum Properti: Jual Beli No. 50053 untuk NIK 100200,100200,471,899,2025-04-02,2025-11-14,,,Proses
50054,Hukum Properti: Jual Beli,Kasus Hukum Properti: Jual Beli No. 50054 untuk NIK 100342,100342,403,82,2024-05-29,2024-11-08,2025-10-20,Kalah,Selesai
50055,Hukum Properti: Jual Beli,Kasus Hukum Properti: Jual Beli No. 50055 untuk NIK 100088,100088,512,647,2024-02-06,2024-08-03,,,Proses
50056,Keluarga: Cerai Gugat,Kasus Keluarga: Cerai Gugat No. 50056 untuk NIK 100009,100009,85,177,2024-09-21,2024-10-15,2025-09-11,Damai,Selesai
50057,Pidana: Penggelapan,Kasus Pidana: Penggelapan No. 50057 untuk NIK 100040,100040,620,514,2025-11-16,2025-11-16,,,Pending
50058,Keluarga: Cerai Gugat,Kasus Keluarga: Cerai Gugat No. 50058 untuk NIK 100120,100120,884,1,2025-08-06,2025-08-20,,,Proses
50059,Hukum Properti: Jual Beli,Kasus Hukum Properti: Jual Beli No. 50059 untuk NIK 100106,100106,173,888,2025-03-04,2025-07-07,,,Proses
50060,Pidana: Penggelapan,Kasus Pidana: Penggelapan No. 50060 untuk NIK 100191,100191,547,463,2025-06-14,2025-08-14,,,Proses
50061,Tata Usaha Negara: Sengketa Izin,Kasus Tata Usaha Negara: Sengketa Izin No. 50061 untuk NIK 100744,100744,426,225,2025-11-06,2025-12-16,2025-12-26,Damai,Selesai
50062,Hukum Properti: Jual Beli,Kasus Hukum Properti: Jual Beli No. 50062 untuk NIK 100680,100680,372,531,2025-03-27,2025-12-18,,,Proses
50063,Pidana: Penggelapan,Kasus Pidana: Penggelapan No. 50063 untuk NIK 100011,100011,569,181,2024-12-18,2025-05-18,,,Pending
50064,Keluarga: Cerai Gugat,Kasus Keluarga: Cerai Gugat No. 50064 untuk NIK 100647,100647,546,621,2024-05-21,2024-11-12,,,Proses
50065,Pidana: Penggelapan,Kasus Pidana: Penggelapan No. 50065 untuk NIK 100375,100375,669,352,2025-07-21,2025-12-30,,,Proses
50066,Pidana: Penggelapan,Kasus Pidana: Penggelapan No. 50066 untuk NIK 100672,100672,550,575,2025-05-13,2025-05-27,2025-09-13,Menang,Selesai
50067,Keluarga: Cerai Gugat,Kasus Keluarga: Cerai Gugat No. 50067 untuk NIK 100986,100986,685,732,2024-09-19,2025-07-22,,,Proses
50068,Tata Usaha Negara: Sengketa Izin,Kasus Tata Usaha Negara: Sengketa Izin No. 50068 untuk NIK 100076,100076,354,945,2025-08-20,2025-08-26,,,Proses
50069,Bisnis: Wanprestasi,Kasus Bisnis: Wanprestasi No. 50069 untuk NIK 100787,100787,81,840,2024-09-18,2025-04-22,,,Pending
50070,Hukum Properti: Jual Beli,Kasus Hukum Properti: Jual Beli No. 50070 untuk NIK 100740,100740,384,664,2025-06-21,2025-07-09,,,Proses
50071,Tata Usaha Negara: Sengketa Izin,Kasus Tata Usaha Negara: Sengketa Izin No. 50071 untuk NIK 100324,100324,810,888,2024-06-23,2024-12-29,,,Pending
50072,Pidana: Penggelapan,Kasus Pidana: Penggelapan No. 50072 untuk NIK 100339,100339,966,972,2025-06-09,2025-07-03,2025-09-21,Menang,Selesai
50073,Pidana: Penggelapan,Kasus Pidana: Penggelapan No. 50073 untuk NIK 100578,100578,324,895,2024-07-24,2025-05-13,2025-06-09,Damai,Selesai
50074,Tata Usaha Negara: Sengketa Izin,Kasus Tata Usaha Negara: Sengketa Izin No. 50074 untuk NIK 100585,100585,76,595,2024-06-07,2025-07-14,2025-07-26,Menang,Selesai
50075,Perdata: Sengketa Tanah,Kasus Perdata: Sengketa Tanah No. 50075 untuk NIK 100067,100067,322,303,2024-12-03,2025-11-17,,,Proses
50076,Perdata: Sengketa Tanah,Kasus Perdata: Sengketa Tanah No. 50076 untuk NIK 100966,100966,791,162,2024-11-24,2025-08-27,2025-12-20,Damai,Selesai
50077,Perdata: Sengketa Tanah,Kasus Perdata: Sengketa Tanah No. 50077 untuk NIK 100158,100158,192,257,2024-02-19,2025-01-15,,,Proses
50078,Pidana: Penggelapan,Kasus Pidana: Penggelapan No. 50078 untuk NIK 100779,100779,586,318,2024-05-15,2025-09-06,2025-10-15,Menang,Selesai
50079,Pidana: Penggelapan,Kasus Pidana: Penggelapan No. 50079 untuk NIK 100244,100244,218,179,2024-04-01,2025-08-07,,,Proses
50080,Hukum Properti: Jual Beli,Kasus Hukum Properti: Jual Beli No. 50080 untuk NIK 100859,100859,91,641,2024-01-13,2024-07-15,2025-10-25,Menang,Selesai
50081,Perdata: Sengketa Tanah,Kasus Perdata: Sengketa Tanah No. 50081 untuk NIK 100268,100268,850,461,2025-04-18,2025-10-14,,,Proses
50082,Bisnis: Wanprestasi,Kasus Bisnis: Wanprestasi No. 50082 untuk NIK 100232,100232,704,917,2025-02-06,2025-05-21,,,Pending
50083,Perdata: Sengketa Tanah,Kasus Perdata: Sengketa Tanah No. 50083 untuk NIK 100876,100876,722,810,2025-09-11,2025-10-15,2025-11-17,Kalah,Selesai
50084,Tata Usaha Negara: Sengketa Izin,Kasus Tata Usaha Negara: Sengketa Izin No. 50084 untuk NIK 100005,100005,949,70,2024-12-04,2025-09-04,2025-12-14,Menang,Selesai
50085,Pidana: Penggelapan,Kasus Pidana: Penggelapan No. 50085 untuk NIK 100431,100431,399,328,2024-05-23,2025-05-29,2025-10-30,Kalah,Selesai
50086,Pidana: Penggelapan,Kasus Pidana: Penggelapan No. 50086 untuk NIK 100789,100789,547,809,2024-08-31,2025-01-13,,,Proses
50087,Pidana: Penggelapan,Kasus Pidana: Penggelapan No. 50087 untuk NIK 100193,100193,4,610,2025-11-20,2025-12-30,,,Proses
50088,Hukum Properti: Jual Beli,Kasus Hukum Properti: Jual Beli No. 50088 untuk NIK 100032,100032,654,417,2025-12-13,2025-12-27,,,Proses
50089,Hukum Properti: Jual Beli,Kasus Hukum Properti: Jual Beli No. 50089 untuk NIK 100565,100565,833,696,2025-07-19,2025-08-06,2025-12-22,Menang,Selesai
50090,Tata Usaha Negara: Sengketa Izin,Kasus Tata Usaha Negara: Sengketa Izin No. 50090 untuk NIK 100188,100188,209,384,2025-04-01,2025-04-18,2025-05-14,Damai,Selesai
50091,Perdata: Sengketa Tanah,Kasus Perdata: Sengketa Tanah No. 50091 untuk NIK 100341,100341,167,632,2024-02-05,2025-07-24,,,Pending
50092,Bisnis: Wanprestasi,Kasus Bisnis: Wanprestasi No. 50092 untuk NIK 100448,100448,208,109,2024-03-27,2024-10-09,2025-05-31,Kalah,Selesai
50093,Bisnis: Wanprestasi,Kasus Bisnis: Wanprestasi No. 50093 untuk NIK 100749,100749,945,874,2024-11-27,2025-04-27,,,Proses
50094,Hukum Properti: Jual Beli,Kasus Hukum Properti: Jual Beli No. 50094 untuk NIK 100441,100441,656,439,2024-02-21,2024-08-13,,,Pending
50095,Perdata: Sengketa Tanah,Kasus Perdata: Sengketa Tanah No. 50095 untuk NIK 100605,100605,51,383,2025-03-30,2025-12-25,,,Pending
50096,Tata Usaha Negara: Sengketa Izin,Kasus Tata Usaha Negara: Sengketa Izin No. 50096 untuk NIK 100407,100407,933,912,2024-06-20,2025-05-06,,,Proses
50097,Keluarga: Cerai Gugat,Kasus Keluarga: Cerai Gugat No. 50097 untuk NIK 100376,100376,164,499,2025-02-25,2025-02-27,,,Pending
50098,Hukum Properti: Jual Beli,Kasus Hukum Properti: Jual Beli No. 50098 untuk NIK 100372,100372,444,706,2025-12-18,2025-12-21,2025-12-29,Menang,Selesai
50099,Perdata: Sengketa Tanah,Kasus Perdata: Sengketa Tanah No. 50099 untuk NIK 100279,100279,786,81,2024-06-07,2024-09-14,2025-01-18,Kalah,Selesai
50100,Hukum Properti: Jual Beli,Kasus Hukum Properti: Jual Beli No. 50100 untuk NIK 100957,100957,432,600,2025-01-25,2025-09-11,,,Proses
50101,Perdata: Sengketa Tanah,Kasus Perdata: Sengketa Tanah No. 50101 untuk NIK 100446,100446,537,914,2024-08-26,2025-01-18,2025-11-05,Menang,Selesai
50102,Hukum Properti: Jual Beli,Kasus Hukum Properti: Jual Beli No. 50102 untuk NIK 100601,100601,1,854,2025-07-01,2025-08-23,2025-08-30,Menang,Selesai
50103,Tata Usaha Negara: Sengketa Izin,Kasus Tata Usaha Negara: Sengketa Izin No. 50103 untuk NIK 100372,100372,738,639,2024-01-18,2024-10-17,2025-10-17,Menang,Selesai
50104,Bisnis: Wanprestasi,Kasus Bisnis: Wanprestasi No. 50104 untuk NIK 100123,100123,192,330,2025-04-30,2025-06-06,,,Proses
50105,Pidana: Penggelapan,Kasus Pidana: Penggelapan No. 50105 untuk NIK 100110,100110,392,595,2024-07-01,2024-10-28,,,Proses
50106,Hukum Properti: Jual Beli,Kasus Hukum Properti: Jual Beli No. 50106 untuk NIK 100482,100482,385,236,2025-01-14,2025-06-10,2025-08-25,Kalah,Selesai
50107,Pidana: Penggelapan,Kasus Pidana: Penggelapan No. 50107 untuk NIK 100935,100935,508,210,2024-10-26,2025-11-03,2025-11-28,Menang,Selesai
50108,Hukum Properti: Jual Beli,Kasus Hukum Properti: Jual Beli No. 50108 untuk NIK 100388,100388,246,556,2025-04-03,2025-11-27,2025-12-30,Menang,Selesai
50109,Bisnis: Wanprestasi,Kasus Bisnis: Wanprestasi No. 50109 untuk NIK 100942,100942,95,705,2025-09-07,2025-09-26,2025-12-29,Kalah,Selesai
50110,Bisnis: Wanprestasi,Kasus Bisnis: Wanprestasi No. 50110 untuk NIK 100672,100672,229,937,2024-02-13,2025-07-28,,,Proses
50111,Keluarga: Cerai Gugat,Kasus Keluarga: Cerai Gugat No. 50111 untuk NIK 100622,100622,210,811,2024-12-29,2025-10-04,2025-11-27,Kalah,Selesai
50112,Keluarga: Cerai Gugat,Kasus Keluarga: Cerai Gugat No. 50112 untuk NIK 100328,100328,672,409,2025-12-27,2025-12-29,,,Pending
50113,Keluarga: Cerai Gugat,Kasus Keluarga: Cerai Gugat No. 50113 untuk NIK 100972,100972,482,522,2024-11-10,2025-02-17,,,Proses
50114,Tata Usaha Negara: Sengketa Izin,Kasus Tata Usaha Negara: Sengketa Izin No. 50114 untuk NIK 100513,100513,738,635,2025-06-09,2025-06-22,2025-12-26,Menang,Selesai
50115,Perdata: Sengketa Tanah,Kasus Perdata: Sengketa Tanah No. 50115 untuk NIK 100439,100439,526,91,2024-12-02,2025-05-03,,,Proses
50116,Bisnis: Wanprestasi,Kasus Bisnis: Wanprestasi No. 50116 untuk NIK 100126,100126,899,925,2024-01-06,2025-07-09,2025-10-23,Kalah,Selesai
50117,Bisnis: Wanprestasi,Kasus Bisnis: Wanprestasi No. 50117 untuk NIK 100206,100206,743,702,2024-01-24,2025-10-22,2025-12-06,Kalah,Selesai
50118,Tata Usaha Negara: Sengketa Izin,Kasus Tata Usaha Negara: Sengketa Izin No. 50118 untuk NIK 100910,100910,431,618,2025-08-09,2025-12-02,,,Pending
50119,Perdata: Sengketa Tanah,Kasus Perdata: Sengketa Tanah No. 50119 untuk NIK 100366,100366,344,804,2024-03-05,2025-10-13,2025-10-28,Kalah,Selesai
50120,Keluarga: Cerai Gugat,Kasus Keluarga: Cerai Gugat No. 50120 untuk NIK 100111,100111,48,386,2025-07-02,2025-08-11,,,Proses
50121,Perdata: Sengketa Tanah,Kasus Perdata: Sengketa Tanah No. 50121 untuk NIK 100103,100103,704,563,2024-03-04,2025-11-28,,,Pending
50122,Tata Usaha Negara: Sengketa Izin,Kasus Tata Usaha Negara: Sengketa Izin No. 50122 untuk NIK 100142,100142,327,908,2024-04-03,2025-09-19,2025-10-23,Damai,Selesai
50123,Bisnis: Wanprestasi,Kasus Bisnis: Wanprestasi No. 50123 untuk NIK 100300,100300,373,751,2025-10-14,2025-10-25,2025-12-18,Menang,Selesai
50124,Tata Usaha Negara: Sengketa Izin,Kasus Tata Usaha Negara: Sengketa Izin No. 50124 untuk NIK 100163,100163,496,5,2025-07-14,2025-10-02,,,Proses
50125,Keluarga: Cerai Gugat,Kasus Keluarga: Cerai Gugat No. 50125 untuk NIK 100551,100551,976,525,2024-10-13,2025-04-17,2025-07-30,Menang,Selesai
50126,Tata Usaha Negara: Sengketa Izin,Kasus Tata Usaha Negara: Sengketa Izin No. 50126 untuk NIK 100785,100785,124,293,2024-11-25,2025-09-07,,,Proses
50127,Pidana: Penggelapan,Kasus Pidana: Penggelapan No. 50127 untuk NIK 100193,100193,738,854,2024-06-26,2024-11-22,2025-02-09,Kalah,Selesai
50128,Tata Usaha Negara: Sengketa Izin,Kasus Tata Usaha Negara: Sengketa Izin No. 50128 untuk NIK 100540,100540,694,295,2025-06-16,2025-08-22,,,Pending
50129,Keluarga: Cerai Gugat,Kasus Keluarga: Cerai Gugat No. 50129 untuk NIK 100419,100419,102,877,2025-09-24,2025-11-08,2025-12-16,Menang,Selesai
50130,Tata Usaha Negara: Sengketa Izin,Kasus Tata Usaha Negara: Sengketa Izin No. 50130 untuk NIK 100169,100169,197,798,2024-07-11,2025-08-27,,,Proses
50131,Keluarga: Cerai Gugat,Kasus Keluarga: Cerai Gugat No. 50131 untuk NIK 100310,100310,706,720,2025-03-19,2025-07-10,,,Proses
50132,Tata Usaha Negara: Sengketa Izin,Kasus Tata Usaha Negara: Sengketa Izin No. 50132 untuk NIK 100151,100151,961,299,2024-04-09,2025-04-01,2025-08-27,Menang,Selesai
50133,Bisnis: Wanprestasi,Kasus Bisnis: Wanprestasi No. 50133 untuk NIK 100316,100316,334,578,2024-11-24,2025-11-08,,,Proses
50134,Hukum Properti: Jual Beli,Kasus Hukum Properti: Jual Beli No. 50134 untuk NIK 100843,100843,926,414,2024-03-22,2024-04-17,2025-11-29,Kalah,Selesai
50135,Bisnis: Wanprestasi,Kasus Bisnis: Wanprestasi No. 50135 untuk NIK 100526,100526,59,226,2025-08-26,2025-10-05,2025-11-04,Menang,Selesai
50136,Hukum Properti: Jual Beli,Kasus Hukum Properti: Jual Beli No. 50136 untuk NIK 100907,100907,503,76,2025-01-18,2025-09-10,,,Pending
50137,Keluarga: Cerai Gugat,Kasus Keluarga: Cerai Gugat No. 50137 untuk NIK 100384,100384,588,239,2025-08-30,2025-11-28,,,Proses
50138,Pidana: Penggelapan,Kasus Pidana: Penggelapan No. 50138 untuk NIK 100391,100391,186,427,2025-05-18,2025-12-03,,,Pending
50139,Bisnis: Wanprestasi,Kasus Bisnis: Wanprestasi No. 50139 untuk NIK 100605,100605,908,406,2024-02-13,2025-06-27,2025-10-15,Menang,Selesai
50140,Bisnis: Wanprestasi,Kasus Bisnis: Wanprestasi No. 50140 untuk NIK 100433,100433,860,683,2024-09-13,2024-10-25,,,Pending
50141,Keluarga: Cerai Gugat,Kasus Keluarga: Cerai Gugat No. 50141 untuk NIK 100690,100690,547,116,2025-11-09,2025-11-21,2025-12-26,Kalah,Selesai
50142,Keluarga: Cerai Gugat,Kasus Keluarga: Cerai Gugat No. 50142 untuk NIK 100463,100463,852,489,2025-05-04,2025-08-28,,,Proses
50143,Tata Usaha Negara: Sengketa Izin,Kasus Tata Usaha Negara: Sengketa Izin No. 50143 untuk NIK 100236,100236,391,173,2024-08-16,2025-06-10,2025-08-06,Damai,Selesai
50144,Perdata: Sengketa Tanah,Kasus Perdata: Sengketa Tanah No. 50144 untuk NIK 100617,100617,965,574,2025-01-03,2025-11-27,,,Proses
50145,Tata Usaha Negara: Sengketa Izin,Kasus Tata Usaha Negara: Sengketa Izin No. 50145 untuk NIK 100891,100891,923,906,2025-06-24,2025-08-29,,,Pending
50146,Perdata: Sengketa Tanah,Kasus Perdata: Sengketa Tanah No. 50146 untuk NIK 100309,100309,233,914,2025-03-16,2025-09-17,,,Proses
50147,Bisnis: Wanprestasi,Kasus Bisnis: Wanprestasi No. 50147 untuk NIK 100791,100791,667,651,2025-09-10,2025-11-06,2025-12-28,Kalah,Selesai
50148,Perdata: Sengketa Tanah,Kasus Perdata: Sengketa Tanah No. 50148 untuk NIK 100229,100229,928,321,2025-02-14,2025-02-15,2025-06-08,Kalah,Selesai
50149,Perdata: Sengketa Tanah,Kasus Perdata: Sengketa Tanah No. 50149 untuk NIK 100589,100589,31,569,2024-01-12,2024-03-10,,,Proses
50150,Tata Usaha Negara: Sengketa Izin,Kasus Tata Usaha Negara: Sengketa Izin No. 50150 untuk NIK 100607,100607,245,495,2025-05-11,2025-07-08,,,Proses
50151,Tata Usaha Negara: Sengketa Izin,Kasus Tata Usaha Negara: Sengketa Izin No. 50151 untuk NIK 100486,100486,226,824,2025-06-04,2025-12-05,,,Pending
50152,Pidana: Penggelapan,Kasus Pidana: Penggelapan No. 50152 untuk NIK 100908,100908,701,365,2025-02-21,2025-03-20,,,Proses
50153,Perdata: Sengketa Tanah,Kasus Perdata: Sengketa Tanah No. 50153 untuk NIK 100296,100296,364,488,2025-08-07,2025-09-12,2025-10-04,Kalah,Selesai
50154,Hukum Properti: Jual Beli,Kasus Hukum Properti: Jual Beli No. 50154 untuk NIK 100605,100605,735,735,2024-06-09,2025-10-11,2025-11-07,Damai,Selesai
50155,Tata Usaha Negara: Sengketa Izin,Kasus Tata Usaha Negara: Sengketa Izin No. 50155 untuk NIK 100702,100702,637,904,2024-05-17,2024-11-14,,,Pending
50156,Bisnis: Wanprestasi,Kasus Bisnis: Wanprestasi No. 50156 untuk NIK 100423,100423,283,427,2024-05-07,2025-06-04,2025-12-29,Menang,Selesai
50157,Keluarga: Cerai Gugat,Kasus Keluarga: Cerai Gugat No. 50157 untuk NIK 100459,100459,983,757,2025-10-08,2025-11-30,,,Proses
50158,Hukum Properti: Jual Beli,Kasus Hukum Properti: Jual Beli No. 50158 untuk NIK 100088,100088,288,67,2025-10-23,2025-12-02,,,Proses
50159,Keluarga: Cerai Gugat,Kasus Keluarga: Cerai Gugat No. 50159 untuk NIK 100147,100147,234,444,2024-04-17,2025-07-10,2025-10-12,Menang,Selesai
50160,Pidana: Penggelapan,Kasus Pidana: Penggelapan No. 50160 untuk NIK 100049,100049,480,978,2025-02-07,2025-04-08,2025-09-05,Menang,Selesai
50161,Keluarga: Cerai Gugat,Kasus Keluarga: Cerai Gugat No. 50161 untuk NIK 100187,100187,906,358,2025-11-06,2025-11-15,,,Proses
50162,Bisnis: Wanprestasi,Kasus Bisnis: Wanprestasi No. 50162 untuk NIK 100102,100102,452,858,2025-09-14,2025-11-13,,,Proses
50163,Pidana: Penggelapan,Kasus Pidana: Penggelapan No. 50163 untuk NIK 100813,100813,467,101,2024-02-04,2024-12-01,2025-03-25,Menang,Selesai
50164,Keluarga: Cerai Gugat,Kasus Keluarga: Cerai Gugat No. 50164 untuk NIK 100863,100863,642,763,2025-01-30,2025-03-20,,,Pending
