NIK,Nama_Klien,Tgl_Daftar,No_Tlp_K,Email_K,Alamat_K,Gender_K,Tmpt_tgl_lhr_K,Tgl_lhr_K,Jenis_LH
100016,"Drs. Siska Widodo, M.Ak",2024-02-01,+62-0088-184-86,klien16_country-charge-year@ud.com,"Jl. Sentot Alibasa No. 156, Yogyakarta, KB 29479",Wanita,Sawahlunto,2005-10-17,835
100017,Hana Saefullah,2024-07-07,(083) 859-7155,klien17_response-authority@pt.mil.id,"Gg. Jamika No. 903, Depok, Papua Barat 82997",Wanita,Dumai,1969-10-25,817
100018,R.M. Limar Wibisono,2025-01-16,+62 (040) 840-3,klien18_nor-treat-enough@pt.org,"Gg. W.R. Supratman No. 3, Tanjungbalai, Sumatera Selatan 63137",Wanita,Kota Administrasi Jakarta Pusat,2002-03-14,157
100019,Yani Novitasari,2025-05-19,+62 (350) 856-3,klien19_market-better-high@ud.edu,"Gang Suryakencana No. 7, Pematangsiantar, KU 64681",Laki-Laki,Tomohon,1979-07-22,279
100020,"dr. Tami Najmudin, S.T.",2024-05-09,(025) 980 7205,klien20_young-mean-late@ud.go.id,"Jl. Pacuan Kuda No. 77, Tangerang Selatan, DI Yogyakarta 38235",Wanita,Pasuruan,1988-01-31,524
100021,Emas Nasyiah,2024-01-09,+62-391-889-030,klien21_employee-every@cv.gov,"Gg. Moch. Toha No. 258, Bogor, BB 95817",Wanita,Pariaman,1997-10-21,92
100022,Tgk. Balijan Firmansyah,2025-11-15,+62 (450) 056 3,klien22_structure-body-cold@pt.mil,"Gang Merdeka No. 5, Purwokerto, MA 05268",Wanita,Tebingtinggi,1993-07-21,873
100023,"dr. Ajeng Halimah, S.Psi",2025-07-16,+62 (084) 586-8,klien23_executive-month@ud.sch.id,"Jl. Pasirkoja No. 74, Banjarmasin, DI Yogyakarta 39486",Wanita,Palopo,1973-10-03,889
100024,"Drs. Bahuraksa Hartati, M.Farm",2025-11-29,+62-526-179-742,klien24_approach-land@ud.int,"Jalan Abdul Muis No. 3, Tomohon, Maluku 13389",Wanita,Batam,1988-04-26,513
100025,"Puti Septi Waluyo, S.T.",2024-07-06,+62-99-873-6497,klien25_city-try-discussion@pt.biz.id,"Jalan Pasir Koja No. 5, Probolinggo, YO 94637",Wanita,Bandung,1974-04-10,619
100026,Liman Budiyanto,2024-04-25,089 152 5683,klien26_write-speech-game@pt.ponpes.id,"Gg. Jend. A. Yani No. 865, Tebingtinggi, JA 55078",Laki-Laki,Surabaya,1991-02-20,390
100027,Galar Utama,2025-09-21,+62 (315) 918 6,klien27_run-more-throw@cv.gov,"Gang Pasir Koja No. 644, Makassar, Lampung 72361",Laki-Laki,Jambi,1974-10-05,788
100028,Alambana Simanjuntak,2024-05-28,+62 (004) 419 0,klien28_show-responsibility@pd.go.id,"Gg. Jend. Sudirman No. 8, Palangkaraya, MU 90618",Laki-Laki,Bandung,1966-07-27,850
100029,Cut Gilda Rahmawati,2024-02-13,+62 (75) 128-20,klien29_and-draw-one-black@cv.net,"Gang Gegerkalong Hilir No. 5, Samarinda, Jambi 96950",Laki-Laki,Surabaya,1973-06-25,430
100030,Cut Laras Gunarto,2025-12-03,+62 (0025) 997-,klien30_charge-magazine@ud.org,"Gg. Raya Setiabudhi No. 81, Makassar, KR 57946",Laki-Laki,Mojokerto,1991-06-15,735
100031,Oliva Nainggolan,2025-04-10,+62 (092) 515 3,klien31_around-drive-stock@pt.web.id,"Jalan HOS. Cokroaminoto No. 0, Sorong, Maluku 98170",Wanita,Pariaman,1990-02-06,766
100032,Soleh Budiman,2024-06-14,+62 (753) 274-7,klien32_husband-whose@cv.net,"Jalan Indragiri No. 85, Dumai, Jawa Timur 47704",Wanita,Prabumulih,1965-11-27,353
100033,Paramita Samosir,2025-05-16,0889445856,klien33_difference-buy@perum.desa.id,"Jl. Jend. A. Yani No. 8, Pontianak, Sulawesi Barat 66270",Laki-Laki,Tanjungpinang,1982-10-05,455
100034,Cager Wastuti,2024-01-21,(029) 366-6500,klien34_begin-situation@pt.ac.id,"Gg. Tubagus Ismail No. 15, Kota Administrasi Jakarta Utara, Papua 51692",Laki-Laki,Denpasar,2003-03-30,361
100035,Amelia Kuswandari,2024-06-20,(003) 072-2267,klien35_along-lay-office@pt.net,"Jalan Cempaka No. 13, Pekanbaru, NB 69765",Wanita,Surakarta,2005-12-27,58
100036,Rafid Thamrin,2024-06-15,+62 (495) 809-5,klien36_key-surface-against@cv.sch.id,"Jl. Lembong No. 6, Kota Administrasi Jakarta Utara, KU 93450",Laki-Laki,Singkawang,2005-06-03,534
100037,Zizi Suwarno,2025-09-11,+62 (018) 091 1,klien37_prepare-himself@pt.mil.id,"Gg. Kutai No. 706, Prabumulih, SN 38427",Laki-Laki,Tangerang,2003-04-30,631
100038,"R.M. Leo Wahyudin, S.Gz",2024-05-06,(0588) 298 2818,klien38_expect-medical@perum.id,"Jalan Dr. Djunjunan No. 52, Banda Aceh, PB 00695",Laki-Laki,Depok,1982-11-09,690
100039,Dt. Mahdi Zulaika,2025-12-30,0810997201,klien39_rule-start-test@pd.int,"Jl. Jakarta No. 22, Jambi, Kalimantan Selatan 13702",Wanita,Pekanbaru,1971-10-27,756
100040,"Malika Suryono, S.IP",2024-06-22,+62-108-716-582,klien40_every-else-want@ud.co.id,"Gg. Rajawali Timur No. 8, Batam, Sulawesi Tenggara 36032",Laki-Laki,Kupang,1996-03-04,152
100041,Kiandra Tarihoran,2024-03-08,085 984 9354,klien41_break-fish-letter@pd.my.id,"Jalan Kutai No. 91, Subulussalam, Sulawesi Utara 67005",Wanita,Bengkulu,1986-11-02,955
100042,Tantri Agustina,2024-03-10,083 746 3453,klien42_part-him-little@pd.ponpes.id,"Gg. Rumah Sakit No. 758, Tual, NB 39150",Laki-Laki,Malang,1969-01-03,82
100043,R. Talia Suryono,2024-03-16,(093) 691 1447,klien43_girl-final@pd.mil,"Jl. Kutai No. 9, Sorong, Nusa Tenggara Barat 44424",Wanita,Jambi,1988-03-26,184
100044,drg. Tedi Mardhiyah,2024-05-17,+62 (0107) 493 ,klien44_that-dog-baby@cv.id,"Jl. Pelajar Pejuang No. 5, Medan, SG 78386",Laki-Laki,Cimahi,2004-06-16,594
100045,Galih Pradipta,2024-06-20,081 817 1374,klien45_onto-wish-set-full@pt.or.id,"Jl. Rajawali Barat No. 088, Metro, Papua 09216",Wanita,Pontianak,2001-06-06,282
100046,Jane Nuraini,2025-07-23,+62 (74) 115-86,klien46_force-minute-couple@perum.ac.id,"Gang Setiabudhi No. 681, Denpasar, KB 44341",Wanita,Batu,2003-01-19,137
100047,Edward Wijaya,2024-05-16,(098) 801 7094,klien47_bad-gun-fall-remain@perum.net.id,"Gang Dipenogoro No. 66, Banjarmasin, KT 82740",Laki-Laki,Cilegon,1980-08-15,250
100048,"Usyi Haryanti, M.M.",2024-06-14,+62 (0403) 734 ,klien48_right-large-before@pt.net.id,"Gang Dipatiukur No. 0, Metro, KR 38073",Laki-Laki,Prabumulih,1971-09-12,240
100049,Cut Tina Oktaviani,2024-11-13,+62 (0720) 120-,klien49_population-why-cost@pt.ac.id,"Gang Kutisari Selatan No. 1, Metro, KS 77510",Laki-Laki,Pekalongan,1994-09-20,794
100050,Adikara Prabowo,2024-04-08,(094) 064-5038,klien50_they-never@ud.or.id,"Jl. Gedebage Selatan No. 638, Metro, Nusa Tenggara Barat 05461",Wanita,Singkawang,1987-09-19,13
100051,Balamantri Pangestu,2025-11-16,+62 (0812) 651-,klien51_hit-in-different@ud.desa.id,"Gang Cempaka No. 9, Batu, NT 68758",Wanita,Tomohon,1986-09-24,68
100052,Darman Marpaung,2024-09-22,+62 (091) 740 3,klien52_help-few-politics@pt.gov,"Gang Yos Sudarso No. 3, Pematangsiantar, Jawa Timur 52209",Wanita,Tanjungbalai,1973-05-27,595
100053,Puti Kamaria Farida,2024-06-07,(0049) 847-3015,klien53_white-shake-support@perum.id,"Jl. Rumah Sakit No. 9, Palembang, BA 98281",Laki-Laki,Palopo,1986-08-30,137
100054,"dr. Kasiyah Maryadi, M.Kom.",2024-11-10,0818519943,klien54_others-option-my@perum.ponpes.id,"Jl. Soekarno Hatta No. 94, Tegal, Sulawesi Tengah 30055",Wanita,Probolinggo,1976-02-14,334
100055,"Vicky Prastuti, M.Pd",2025-05-12,(098) 544 0792,klien55_worker-high-scene@perum.edu,"Jalan BKR No. 944, Serang, RI 70988",Wanita,Madiun,1996-01-04,230
100056,Dian Waluyo,2024-04-15,+62-113-285-668,klien56_good-soldier-high@pd.id,"Gg. W.R. Supratman No. 2, Prabumulih, Riau 60998",Laki-Laki,Banjarmasin,1980-06-15,363
100057,"H. Adikara Nugroho, M.TI.",2024-12-31,+62-844-057-898,klien57_three-mission-close@pd.my.id,"Jl. Cikapayang No. 9, Depok, SU 61026",Laki-Laki,Padang,1993-11-17,436
100058,dr. Yance Hastuti,2025-04-22,+62 (0448) 903 ,klien58_which-describe@pt.sch.id,"Gang Gegerkalong Hilir No. 69, Padang, Jambi 25848",Laki-Laki,Bengkulu,1981-09-14,645
100059,Ida Hastuti,2025-08-01,+62 (0880) 291 ,klien59_magazine-toward@pd.id,"Jalan S. Parman No. 0, Bontang, RI 42192",Wanita,Dumai,1979-03-10,314
100060,Darijan Sihotang,2025-04-28,(031) 593-2931,klien60_ago-like-morning@pt.desa.id,"Gang Raya Setiabudhi No. 91, Kota Administrasi Jakarta Timur, Sulawesi Tenggara 37962",Wanita,Tasikmalaya,1973-12-15,78
100061,Tina Anggriawan,2024-07-28,0883080270,klien61_science-explain@pd.mil.id,"Jalan Rungkut Industri No. 98, Kota Administrasi Jakarta Timur, Papua Barat 49622",Wanita,Jayapura,1988-06-04,340
100062,Maida Astuti,2025-06-08,+62 (844) 166-5,klien62_and-several-field@ud.biz.id,"Jl. Cihampelas No. 1, Parepare, Bali 88295",Laki-Laki,Batu,1973-01-09,551
100063,"Novi Firgantoro, M.Farm",2024-09-11,+62-0822-190-71,klien63_writer-necessary@cv.or.id,"Jl. Tubagus Ismail No. 2, Kupang, KS 54662",Laki-Laki,Jambi,1973-05-08,306
100064,Salwa Sihombing,2024-06-04,+62 (66) 317-89,klien64_opportunity-her@perum.id,"Jalan Waringin No. 3, Kotamobagu, Kepulauan Riau 63250",Laki-Laki,Cimahi,2001-02-22,719
100065,Hamzah Hutasoit,2025-08-03,+62 (382) 896 3,klien65_news-pull-such-he@pd.ac.id,"Gg. HOS. Cokroaminoto No. 6, Bukittinggi, Kalimantan Barat 85702",Wanita,Pariaman,2005-04-09,315
100066,"Cut Siti Uwais, S.Farm",2024-03-25,(074) 053 1729,klien66_rather-into-begin@perum.mil,"Jl. Raya Setiabudhi No. 59, Jambi, NB 18201",Laki-Laki,Tomohon,1975-05-13,330
100067,"Lutfan Prasetyo, S.Psi",2025-05-20,(0185) 451-8171,klien67_husband-speech@pd.int,"Gg. Soekarno Hatta No. 00, Banjarbaru, KB 10102",Laki-Laki,Depok,1988-12-17,723
100068,dr. Raina Thamrin,2024-03-16,(0747) 844 3068,klien68_save-anyone@pd.web.id,"Gang R.E Martadinata No. 823, Bekasi, Kalimantan Tengah 20734",Laki-Laki,Kota Administrasi Jakarta Pusat,1967-10-28,492
100069,Ir. Restu Siregar,2025-07-05,(0246) 188 4298,klien69_once-mother-else@cv.ac.id,"Jl. K.H. Wahid Hasyim No. 121, Pontianak, KR 56051",Laki-Laki,Magelang,1968-05-01,960
100070,Amalia Mustofa,2025-02-10,+62 (044) 172-3,klien70_say-thought-long@cv.go.id,"Jalan Dr. Djunjunan No. 977, Sungai Penuh, PB 46943",Wanita,Mataram,1990-04-26,532
100071,"Hj. Rahmi Kuswoyo, S.I.Kom",2024-10-24,+62 (432) 338 6,klien71_represent-foot@pt.id,"Jl. Cihampelas No. 38, Bekasi, JB 54020",Wanita,Lhokseumawe,1968-06-19,492
100072,"Galak Mandasari, S.I.Kom",2025-07-12,+62 (043) 142 4,klien72_half-bill-young@pd.biz.id,"Jalan Jayawijaya No. 76, Metro, JI 03112",Wanita,Pariaman,1991-10-15,731
100073,"R.A. Maimunah Simbolon, S.I.Kom",2025-12-20,+62 (083) 598-2,klien73_commercial-stuff@pd.com,"Jalan Rajawali Timur No. 034, Blitar, RI 03429",Wanita,Kotamobagu,1976-01-26,35
100074,Kayla Rahimah,2025-03-28,+62-0641-471-03,klien74_draw-republican@ud.sch.id,"Gang Kiaracondong No. 54, Prabumulih, Jawa Tengah 81274",Laki-Laki,Pagaralam,1980-05-01,552
100075,Arta Astuti,2024-05-07,+62 (95) 492-55,klien75_beat-whatever-page@perum.sch.id,"Gg. Jakarta No. 329, Pasuruan, NB 34272",Laki-Laki,Meulaboh,1969-10-18,266
100076,Harsaya Purwanti,2025-02-04,+62 (0659) 464-,klien76_continue-your-thing@ud.gov,"Gang Pasteur No. 015, Langsa, AC 58364",Laki-Laki,Ternate,1992-01-31,640
100077,"Paulin Budiman, S.H.",2025-01-29,+62 (0604) 445 ,klien77_fly-still-owner-key@pd.org,"Gg. Ahmad Dahlan No. 406, Sukabumi, Maluku Utara 59123",Wanita,Bengkulu,1973-07-11,490
100078,Halima Sudiati,2025-04-04,084 560 5718,klien78_in-anything-machine@perum.edu,"Jalan Dipenogoro No. 5, Sabang, JA 95221",Laki-Laki,Jayapura,1989-09-27,714
100079,"Bahuwirya Maryati, M.Farm",2024-04-17,(000) 485-7721,klien79_structure-single@pd.or.id,"Gang Monginsidi No. 628, Magelang, YO 73974",Wanita,Cilegon,1970-05-15,282
100080,Dt. Okta Januar,2025-04-01,083 799 3288,klien80_toward-social-give@pt.ponpes.id,"Gang Erlangga No. 349, Palu, Jawa Barat 57508",Wanita,Manado,1970-01-20,610
100081,"dr. Banawi Damanik, S.Pt",2024-06-01,(071) 063 9187,klien81_father-eat-growth@ud.mil,"Jalan Sukajadi No. 88, Pasuruan, Sumatera Utara 77486",Laki-Laki,Pontianak,1990-10-21,803
100082,Elma Mandala,2024-09-29,+62 (641) 682 6,klien82_visit-interesting@perum.biz.id,"Gang Erlangga No. 55, Semarang, Sumatera Barat 79876",Laki-Laki,Kota Administrasi Jakarta Utara,1975-02-09,308
100083,"Puti Pia Situmorang, M.Kom.",2025-10-06,081 476 4596,klien83_offer-daughter@pd.edu,"Gang Rungkut Industri No. 83, Surakarta, MU 19874",Wanita,Kotamobagu,1991-08-31,325
100084,Febi Hidayat,2025-03-20,+62 (906) 024 0,klien84_page-read-tell@perum.sch.id,"Jl. Indragiri No. 2, Bekasi, Nusa Tenggara Barat 70219",Laki-Laki,Probolinggo,1979-08-01,392
100085,"Sakura Pradipta, S.Gz",2024-07-21,+62-969-911-833,klien85_since-billion@pt.mil,"Gang Jend. Sudirman No. 87, Prabumulih, SN 15633",Wanita,Padang Sidempuan,1978-04-22,234
100086,Malik Simanjuntak,2025-11-17,+62 (083) 132 2,klien86_mind-office-impact@perum.com,"Jl. Ir. H. Djuanda No. 8, Surabaya, SS 84553",Laki-Laki,Tasikmalaya,1976-11-08,116
100087,Dr. Reksa Zulkarnain,2024-04-10,+62-13-271-7153,klien87_thus-look-piece@cv.edu,"Jalan Antapani Lama No. 67, Surabaya, SS 52240",Wanita,Solok,1981-02-12,352
100088,"Drs. Uchita Puspita, S.IP",2025-06-15,+62 (0834) 227 ,klien88_building-none@pt.com,"Gg. Kutisari Selatan No. 6, Pagaralam, BE 23130",Laki-Laki,Pariaman,1988-02-20,562
100089,Darimin Uwais,2024-06-09,+62 (86) 199-79,klien89_window-which@pd.mil,"Jalan Pasirkoja No. 7, Pagaralam, KT 97521",Wanita,Tasikmalaya,1967-04-27,248
100090,"Ir. Lanang Simanjuntak, M.Farm",2024-12-28,+62 (0789) 601 ,klien90_exactly-manage@pd.desa.id,"Gang Rajiman No. 5, Palangkaraya, SN 16090",Laki-Laki,Semarang,1977-11-14,908
100091,"R.M. Paiman Purwanti, S.Farm",2024-03-08,(015) 061-9017,klien91_so-to-without@ud.go.id,"Jl. Jayawijaya No. 521, Depok, KU 71505",Wanita,Mataram,1968-01-26,476
100092,Salwa Budiyanto,2025-07-11,+62 (019) 710 1,klien92_inside-knowledge@ud.desa.id,"Gg. Waringin No. 996, Salatiga, JI 57202",Wanita,Purwokerto,1970-11-02,597
100093,"Ir. Prabowo Rajasa, M.Farm",2024-07-08,(046) 483-4862,klien93_chance-admit-player@cv.ac.id,"Gang Waringin No. 37, Pontianak, SG 84922",Laki-Laki,Denpasar,1978-12-03,194
100094,Raihan Prastuti,2024-09-27,+62 (079) 664-4,klien94_participant@perum.ac.id,"Gang W.R. Supratman No. 49, Padangpanjang, Maluku 33993",Wanita,Sukabumi,1990-01-18,249
100095,"Muhammad Pratiwi, S.Farm",2025-09-23,+62 (11) 102-47,klien95_analysis-party@pd.my.id,"Jl. Raya Setiabudhi No. 995, Kupang, Sumatera Barat 76466",Wanita,Denpasar,2003-01-21,702
100096,"T. Marsito Marpaung, S.H.",2024-12-02,(0341) 243 6711,klien96_store-summer-first@perum.com,"Gang Indragiri No. 8, Balikpapan, Jawa Tengah 41398",Wanita,Metro,1966-03-30,943
100097,Ulya Andriani,2025-12-09,+62 (0047) 799-,klien97_we-recognize-should@ud.or.id,"Gg. Waringin No. 468, Singkawang, BA 25395",Wanita,Sawahlunto,2003-03-21,687
100098,Siska Kurniawan,2024-04-30,+62 (018) 912-8,klien98_hospital-yet-well@cv.edu,"Gang Tebet Barat Dalam No. 06, Cimahi, Riau 02204",Laki-Laki,Tasikmalaya,1977-02-26,111
100099,Yessi Mandasari,2025-03-27,(085) 735 7380,klien99_lay-may-alone@ud.ac.id,"Gg. Ciwastra No. 44, Pekanbaru, SG 95997",Laki-Laki,Purwokerto,1970-10-29,347
100100,Putri Haryanti,2025-03-13,+62-0211-197-22,klien100_grow-kitchen-blue@pd.go.id,"Gang Ahmad Yani No. 00, Bitung, NB 38801",Wanita,Pekalongan,1970-08-20,958
100101,Adika Puspita,2025-09-23,+62-431-245-664,klien101_watch-recent-nature@cv.net,"Jalan Gardujati No. 10, Madiun, Kepulauan Bangka Belitung 88621",Laki-Laki,Kota Administrasi Jakarta Selatan,1997-10-15,367
100102,Nalar Fujiati,2024-09-26,+62-51-665-6735,klien102_boy-television-read@ud.biz.id,"Gg. Rungkut Industri No. 253, Pekanbaru, Sulawesi Barat 73416",Wanita,Madiun,1971-07-11,569
100103,Dt. Dono Narpati,2025-12-25,+62 (73) 880 74,klien103_have-check-believe@perum.desa.id,"Gang Surapati No. 19, Kota Administrasi Jakarta Selatan, Sulawesi Tengah 70286",Laki-Laki,Malang,1965-09-29,100
100104,Fitriani Megantara,2025-09-18,+62-340-214-232,klien104_how-according-hand@pt.com,"Gg. Erlangga No. 1, Sungai Penuh, Jambi 85132",Wanita,Bontang,1995-06-04,87
100105,Hendri Uwais,2024-03-04,+62-02-764-3264,klien105_idea-agent-senior@pt.com,"Jl. Rungkut Industri No. 364, Malang, AC 86533",Laki-Laki,Pontianak,2002-08-16,622
100106,Harjo Sitorus,2025-01-30,(016) 310 5850,klien106_audience-contain@ud.gov,"Gg. Abdul Muis No. 98, Tidore Kepulauan, Kalimantan Barat 70768",Wanita,Binjai,1966-10-15,971
100107,"Drs. Elvina Mansur, S.Ked",2025-11-23,+62-737-300-931,klien107_respond-local@pt.web.id,"Gg. M.H Thamrin No. 906, Parepare, Maluku 27925",Laki-Laki,Banda Aceh,1995-09-21,941
100108,Julia Sirait,2024-05-13,0824431095,klien108_seat-nothing-month@pt.net.id,"Jl. Ahmad Yani No. 71, Malang, Sumatera Utara 77108",Laki-Laki,Palembang,1983-07-25,588
100109,Ira Najmudin,2025-07-18,(022) 861-8935,klien109_charge-half-stage@perum.ac.id,"Jl. Antapani Lama No. 46, Batam, JI 60566",Wanita,Banjarbaru,2005-05-19,275
100110,Genta Susanti,2025-07-02,+62 (197) 887-4,klien110_ask-soldier-up@ud.biz.id,"Gg. Pacuan Kuda No. 887, Singkawang, JB 05051",Laki-Laki,Ternate,1988-08-11,346
100111,Marwata Wastuti,2024-06-04,(069) 603-5191,klien111_will-rich-center@ud.sch.id,"Gg. Tubagus Ismail No. 6, Blitar, LA 35016",Laki-Laki,Banjarmasin,1974-03-07,80
100112,"Dr. Irma Lestari, S.Ked",2024-02-28,+62-973-714-358,klien112_similar-information@perum.mil.id,"Jalan M.T Haryono No. 0, Singkawang, JI 46944",Wanita,Kotamobagu,1978-09-23,603
100113,Kala Lailasari,2025-06-07,(001) 054-8218,klien113_to-court-best@perum.net.id,"Jalan Ciwastra No. 9, Solok, KR 48063",Wanita,Kota Administrasi Jakarta Barat,1966-05-24,34
100114,"Umar Mansur, S.E.",2025-08-03,+62-071-924-078,klien114_head-civil-appear@pd.biz.id,"Gang W.R. Supratman No. 223, Kota Administrasi Jakarta Pusat, Sumatera Selatan 69671",Wanita,Makassar,1988-04-14,507
100115,Rusman Manullang,2025-05-21,(0722) 969 5003,klien115_more-article-she@pt.sch.id,"Gg. Merdeka No. 0, Jayapura, Jawa Tengah 69770",Wanita,Banda Aceh,1972-10-25,140
100116,Mulyono Kusumo,2024-05-15,+62 (558) 154-9,klien116_nearly-but-nice@pt.my.id,"Gang Moch. Ramdan No. 941, Pagaralam, DKI Jakarta 29344",Wanita,Banjar,1990-06-21,182
100117,Raden Tampubolon,2025-05-05,+62 (964) 189 3,klien117_woman-tree-off@pt.int,"Jalan S. Parman No. 03, Banjar, Gorontalo 19284",Wanita,Lhokseumawe,1986-10-10,675
100118,"Raisa Putra, S.Farm",2025-03-01,(0249) 769-3898,klien118_responsibility-step@cv.com,"Jalan PHH. Mustofa No. 15, Bontang, SB 41675",Wanita,Banjarmasin,1978-10-07,476
100119,Harimurti Kuswandari,2025-10-28,+62 (660) 394-9,klien119_huge-line-fact@ud.mil.id,"Gg. R.E Martadinata No. 93, Cilegon, Aceh 89182",Wanita,Gorontalo,1984-03-03,834
100120,Ina Saragih,2024-02-09,(028) 907 3346,klien120_keep-hand-evening@ud.sch.id,"Jl. Pacuan Kuda No. 304, Palembang, LA 50457",Laki-Laki,Parepare,1985-10-19,318
100121,Kenes Nurdiyanti,2025-10-01,(0884) 485-7848,klien121_likely-hear-oil@cv.desa.id,"Gg. Erlangga No. 99, Pematangsiantar, Sumatera Barat 32140",Laki-Laki,Tomohon,2001-12-16,156
100122,Ida Yuniar,2025-06-16,+62-000-897-915,klien122_hair-son-difficult@pt.gov,"Jl. Gedebage Selatan No. 81, Dumai, KR 53049",Laki-Laki,Bengkulu,1995-01-20,636
100123,Wirda Hasanah,2024-02-26,+62 (884) 739-8,klien123_growth-magazine@pd.ponpes.id,"Jl. Ronggowarsito No. 3, Kota Administrasi Jakarta Timur, JT 17819",Wanita,Samarinda,1991-04-20,489
100124,"Lala Hardiansyah, S.Pd",2025-05-19,(0730) 860-9051,klien124_score-network@cv.mil,"Gang Moch. Ramdan No. 728, Magelang, BB 95864",Laki-Laki,Salatiga,1971-02-15,310
100125,Prasetya Adriansyah,2024-06-21,+62-097-722-694,klien125_approach-after-edge@cv.ponpes.id,"Gang Indragiri No. 2, Kendari, Jawa Tengah 35373",Wanita,Yogyakarta,1997-07-28,856
100126,Tami Usamah,2025-09-20,+62 (939) 336-1,klien126_arrive-order@ud.ponpes.id,"Jl. Ahmad Yani No. 28, Payakumbuh, MA 48283",Laki-Laki,Singkawang,1984-03-12,272
100127,drg. Lanjar Ramadan,2024-06-01,+62 (162) 265 7,klien127_no-nothing-year@ud.org,"Gg. Sadang Serang No. 0, Sawahlunto, Sulawesi Tenggara 47800",Wanita,Tomohon,1965-05-22,998
100128,Olga Utami,2024-04-29,+62-0623-601-11,klien128_president-serious@pd.id,"Jl. Waringin No. 883, Pekanbaru, Kalimantan Tengah 87538",Laki-Laki,Kota Administrasi Jakarta Barat,1977-09-04,377
100129,"Dr. Sakura Pradana, M.Ak",2025-07-13,+62-0250-029-27,klien129_claim-experience@cv.org,"Gg. Gardujati No. 644, Pontianak, KU 78897",Laki-Laki,Tangerang Selatan,1998-04-13,253
100130,Ira Haryanto,2025-07-05,(047) 363-3292,klien130_growth-contain-need@cv.gov,"Jl. Suniaraja No. 173, Sabang, Nusa Tenggara Barat 90840",Wanita,Cilegon,1991-11-10,589
100131,Mahdi Mardhiyah,2024-08-23,(016) 199 6956,klien131_practice-issue@perum.go.id,"Jl. Pasteur No. 972, Payakumbuh, ST 76067",Wanita,Kendari,1972-02-20,588
