Pengacara_ID,Nama_Pengacara,Tgl_Bgb_Pca,Spesialisasi,No_Tlp_Pca,Alamat_Pengacara,Email_Pengacara,Tempat_Lahir_Pca,Tgl_Lhr_Pca,Gender_Pengacara
13,"Zaenab Lazuardi, M.Farm",2025-09-27,Hukum Kepailitan,+62-98-237-9459,"Jalan Indragiri No. 8, Tangerang, AC 68009",pengacara13_beat-show-war@ud.mil.id,Medan,1987-07-16,Laki-Laki
14,"Dr. Gading Hariyah, S.Farm",2024-01-22,Hukum Bisnis,+62 (29) 059 40,"Jalan Rajawali Barat No. 68, Padangpanjang, BT 01872",pengacara14_attack-campaign@pt.com,Ambon,1989-08-16,Wanita
15,Cut Elisa Putra,2025-04-14,Hukum Pidana,+62 (0535) 808-,"Jl. Wonoayu No. 1, Subulussalam, Riau 29199",pengacara15_thing-statement@pt.desa.id,Purwokerto,1995-06-15,Wanita
16,T. Kunthara Laksita,2025-11-08,Hukum Perdata,(012) 932-2819,"Gg. Jamika No. 823, Tarakan, NB 25805",pengacara16_trouble-receive-boy@cv.ponpes.id,Bontang,1993-11-09,Wanita
17,"Paiman Nainggolan, S.E.",2025-02-26,Hukum Pidana,+62 (901) 600 3,"Gg. Jayawijaya No. 707, Solok, Sulawesi Barat 18457",pengacara17_tough-simply-sit@perum.com,Depok,1990-08-14,Wanita
18,Silvia Pratama,2024-09-02,Hukum Bisnis,(065) 338-1228,"Gang Ronggowarsito No. 15, Pontianak, Sulawesi Utara 62754",pengacara18_game-unit-their@ud.gov,Tanjungbalai,1973-10-05,Wanita
19,Aisyah Mardhiyah,2025-10-19,Hukum Properti,+62 (38) 017 71,"Jl. Abdul Muis No. 6, Semarang, Papua 36258",pengacara19_today-turn-message@perum.sch.id,Meulaboh,1977-02-13,Laki-Laki
20,Vera Widiastuti,2024-05-19,Hukum Keluarga,0830228996,"Jalan Antapani Lama No. 52, Langsa, Maluku Utara 16644",pengacara20_tv-north-husband@ud.com,Bima,1989-12-24,Wanita
21,Ina Hartati,2024-08-10,Hukum Bisnis,+62 (047) 959 2,"Jalan Joyoboyo No. 31, Pontianak, PB 96376",pengacara21_expect-possible@perum.gov,Payakumbuh,1994-03-31,Laki-Laki
22,"T. Bakiadi Kuswoyo, S.E.I",2024-02-18,Hukum Perdata,+62 (0378) 534-,"Jalan Kiaracondong No. 491, Probolinggo, DKI Jakarta 91906",pengacara22_scene-turn-form@cv.biz.id,Sawahlunto,1979-01-13,Laki-Laki
23,Anita Saragih,2024-04-28,Hukum Bisnis,+62-083-384-894,"Gg. Wonoayu No. 85, Sungai Penuh, JK 70144",pengacara23_court-fact-billion@pt.mil.id,Manado,1981-11-24,Laki-Laki
24,Mahesa Yolanda,2024-10-20,Hukum Pidana,0890723542,"Jl. Ciumbuleuit No. 8, Padangpanjang, SU 92731",pengacara24_minute-argue-with@pd.net.id,Tasikmalaya,1971-08-26,Laki-Laki
25,Anita Gunarto,2024-03-20,Hukum Kepailitan,+62 (092) 185 5,"Gg. Wonoayu No. 241, Sukabumi, Aceh 71712",pengacara25_glass-figure@pd.or.id,Kota Administrasi Jakarta Utara,1986-03-17,Laki-Laki
26,Artawan Sihombing,2025-11-06,Hukum Properti,(0021) 318 9821,"Jalan Jayawijaya No. 67, Madiun, Sumatera Selatan 58681",pengacara26_issue-economic@cv.ac.id,Lhokseumawe,1989-02-17,Laki-Laki
27,H. Emin Oktaviani,2025-08-03,Hukum Properti,+62 (0536) 377 ,"Gang Indragiri No. 648, Singkawang, Papua 29917",pengacara27_identify-almost@pd.org,Ternate,1985-08-07,Laki-Laki
28,H. Bagus Siregar,2024-03-19,Hukum Keluarga,+62-06-943-4157,"Gg. Ronggowarsito No. 784, Kota Administrasi Jakarta Timur, Nusa Tenggara Barat 09946",pengacara28_baby-to-go-power@pd.gov,Kota Administrasi Jakarta Barat,1987-05-23,Wanita
29,Uchita Sihombing,2024-10-27,Hukum Keluarga,+62 (0399) 923-,"Jl. Waringin No. 4, Banjar, Sumatera Selatan 86026",pengacara29_sit-value-soldier@perum.com,Sawahlunto,1973-05-25,Laki-Laki
30,"drg. Raihan Prasasta, M.Kom.",2025-11-08,Hukum Properti,(0549) 716-6429,"Gg. Cempaka No. 3, Pekanbaru, Sulawesi Selatan 80795",pengacara30_drug-word-radio@perum.int,Malang,1976-08-03,Laki-Laki
31,Ani Oktaviani,2025-12-26,Hukum Bisnis,+62-22-734-6393,"Jalan Astana Anyar No. 914, Tual, Sulawesi Barat 23241",pengacara31_spend-style-born@pd.org,Bitung,1993-07-27,Laki-Laki
32,Salsabila Lestari,2025-12-23,Hukum Keluarga,0809235238,"Gg. Cihampelas No. 96, Probolinggo, Sulawesi Tengah 68310",pengacara32_executive-ago@ud.edu,Sukabumi,1971-05-22,Laki-Laki
33,"Ciaobella Nasyiah, S.Sos",2024-11-16,Hukum Properti,+62 (667) 238 8,"Gang Merdeka No. 0, Parepare, MU 53718",pengacara33_trial-throw-spend@pd.net.id,Dumai,1978-08-06,Laki-Laki
34,R. Nabila Utami,2025-08-30,Hukum Properti,086 692 4307,"Jl. Raya Ujungberung No. 41, Mojokerto, PB 88094",pengacara34_dog-outside-head@perum.gov,Banjar,1995-09-14,Wanita
35,Drs. Jasmani Hutagalung,2025-10-13,Hukum Tata Negara,+62 (086) 270-8,"Gg. Antapani Lama No. 32, Blitar, Kalimantan Tengah 75085",pengacara35_class-career-better@perum.net.id,Balikpapan,1991-11-18,Laki-Laki
36,"Vino Widodo, S.Kom",2024-03-30,Hukum Keluarga,+62 (35) 814 11,"Gang Raya Ujungberung No. 16, Palopo, Sulawesi Tengah 63384",pengacara36_somebody-camera@pd.ponpes.id,Subulussalam,1972-07-05,Laki-Laki
37,Harsanto Rahmawati,2024-07-06,Hukum Pidana,+62 (093) 337-4,"Gg. Pacuan Kuda No. 818, Tomohon, Jambi 34468",pengacara37_travel-consumer@cv.gov,Madiun,1987-04-21,Wanita
38,Hasna Marbun,2024-01-17,Hukum Kepailitan,+62 (017) 582-2,"Gg. Cihampelas No. 525, Tangerang Selatan, Kepulauan Bangka Belitung 80071",pengacara38_travel-because-can@ud.biz.id,Tidore Kepulauan,1976-08-20,Wanita
39,Hari Astuti,2025-05-28,Hukum Pajak,0887697817,"Jl. Cikapayang No. 3, Solok, LA 86027",pengacara39_day-teacher-raise@perum.biz.id,Pekalongan,1991-06-28,Laki-Laki
40,"R.M. Banawi Tamba, M.Ak",2025-01-30,Hukum Kepailitan,084 874 8739,"Gg. Sentot Alibasa No. 90, Banjar, SN 07039",pengacara40_window-hand-year@perum.com,Pekalongan,1993-01-15,Wanita
41,Mahmud Pradana,2024-07-14,Hukum Perdata,+62 (091) 907-0,"Gang Ciumbuleuit No. 434, Kendari, YO 52674",pengacara41_herself-save-film@ud.net.id,Kota Administrasi Jakarta Timur,1991-02-27,Wanita
42,Viman Santoso,2025-02-02,Hukum Pajak,+62 (434) 882 5,"Gang Rawamangun No. 04, Sabang, Sumatera Selatan 57687",pengacara42_surface-simple@pt.edu,Sungai Penuh,1986-10-03,Wanita
43,Maya Handayani,2024-03-30,Hukum Kepailitan,+62-660-357-739,"Jl. Rajawali Barat No. 2, Batam, Gorontalo 78558",pengacara43_somebody-forget@pt.mil.id,Banjarbaru,1995-11-01,Laki-Laki
44,"dr. Padmi Purnawati, M.Ak",2025-10-24,Hukum Properti,086 768 9689,"Jl. Gardujati No. 818, Banda Aceh, Nusa Tenggara Barat 20285",pengacara44_new-down-woman-name@pt.net,Palopo,1988-07-29,Laki-Laki
45,"Wisnu Pratiwi, M.TI.",2024-03-27,Hukum Keluarga,(0188) 276-1207,"Gang Ronggowarsito No. 16, Semarang, KB 08306",pengacara45_beyond-project@perum.mil.id,Pontianak,1978-06-13,Laki-Laki
46,Gamanto Nugroho,2025-07-23,Hukum Properti,+62-08-494-0828,"Gg. Cikapayang No. 1, Banda Aceh, AC 38758",pengacara46_before-west-deal@ud.gov,Banda Aceh,1980-04-20,Wanita
47,"Hadi Halimah, S.Sos",2024-08-29,Hukum Kepailitan,+62-076-780-539,"Gang Yos Sudarso No. 24, Padang Sidempuan, JI 99847",pengacara47_officer-top-push@pd.ac.id,Ambon,1980-04-12,Laki-Laki
48,Eva Pradana,2025-02-07,Hukum Pajak,+62-0813-050-66,"Jalan Jakarta No. 7, Kupang, Kalimantan Barat 64446",pengacara48_once-morning-recent@ud.net,Makassar,1978-09-04,Wanita
49,Marsudi Saputra,2024-06-21,Hukum Pajak,+62 (77) 562 69,"Gang KH Amin Jasuta No. 879, Medan, SS 89853",pengacara49_boy-feeling-war@pd.edu,Salatiga,1975-02-04,Wanita
50,drg. Muhammad Pradana,2025-03-26,Hukum Pidana,+62 (977) 557 5,"Jalan Kebonjati No. 988, Sungai Penuh, BB 05518",pengacara50_share-visit-better@pd.id,Bogor,1988-01-20,Wanita
51,Maria Prastuti,2024-02-07,Hukum Properti,+62 (417) 667 6,"Gang Sukajadi No. 37, Denpasar, PB 07203",pengacara51_think-treatment@perum.mil.id,Lhokseumawe,1975-04-15,Wanita
52,"KH. Gatot Simbolon, M.M.",2025-02-24,Hukum Bisnis,+62 (071) 284-1,"Gang H.J Maemunah No. 953, Palopo, Jawa Timur 58427",pengacara52_sound-fire-so-where@cv.net,Pagaralam,1995-05-26,Laki-Laki
53,Himawan Rahimah,2025-02-03,Hukum Kepailitan,(092) 834 1743,"Jl. Gedebage Selatan No. 8, Tidore Kepulauan, Banten 08688",pengacara53_test-claim-hear@ud.com,Tidore Kepulauan,1985-06-16,Laki-Laki
54,R.A. Lidya Firgantoro,2024-05-30,Hukum Keluarga,(0711) 395 7224,"Gang Medokan Ayu No. 42, Palu, Kalimantan Utara 14371",pengacara54_allow-assume-it@ud.org,Probolinggo,1974-06-29,Laki-Laki
55,Dt. Tomi Laksita,2025-04-12,Hukum Pidana,+62 (0425) 462 ,"Jalan PHH. Mustofa No. 04, Serang, Kepulauan Bangka Belitung 56086",pengacara55_wide-minute@pt.desa.id,Tarakan,1990-06-01,Laki-Laki
56,Margana Marbun,2025-07-20,Hukum Properti,+62-0728-798-90,"Jl. Cikapayang No. 1, Palembang, Kepulauan Bangka Belitung 24587",pengacara56_modern-enough-away@cv.net,Palu,1986-10-31,Wanita
57,"T. Gatra Sihombing, S.I.Kom",2025-04-12,Hukum Kepailitan,+62 (0757) 892-,"Gang Rumah Sakit No. 014, Bau-Bau, Sulawesi Utara 84917",pengacara57_edge-animal-project@cv.org,Serang,1980-02-17,Wanita
58,R. Padmi Kusmawati,2025-03-04,Hukum Keluarga,+62-056-894-921,"Gang Rawamangun No. 264, Padang, KT 27866",pengacara58_story-fund-song@pd.desa.id,Pagaralam,1980-02-18,Laki-Laki
59,Unjani Damanik,2025-11-18,Hukum Properti,(0583) 585-5796,"Gg. Asia Afrika No. 4, Batu, SB 47831",pengacara59_start-fire-design@cv.my.id,Palangkaraya,1987-05-31,Wanita
60,Dr. Kasim Usada,2024-03-28,Hukum Pidana,(047) 402 2282,"Jl. Rumah Sakit No. 065, Kota Administrasi Jakarta Pusat, Gorontalo 04494",pengacara60_each-fear-challenge@pd.ac.id,Dumai,1974-10-24,Laki-Laki
61,"Dr. Nilam Budiman, M.M.",2024-09-24,Hukum Bisnis,+62 (06) 514 44,"Jl. Cempaka No. 443, Tangerang Selatan, Papua 12504",pengacara61_senior-ready-me-cup@cv.net,Medan,1977-03-22,Laki-Laki
62,"Sadina Winarsih, M.Pd",2024-01-05,Hukum Perdata,+62-393-434-823,"Gang Bangka Raya No. 4, Tanjungpinang, Nusa Tenggara Barat 04846",pengacara62_system-day-home@pd.desa.id,Kupang,1976-10-06,Laki-Laki
63,Azalea Anggriawan,2025-06-19,Hukum Properti,0871103674,"Jl. Otto Iskandardinata No. 46, Batu, Sulawesi Selatan 31430",pengacara63_city-energy-stand@cv.co.id,Lubuklinggau,1993-09-25,Laki-Laki
64,dr. Silvia Maheswara,2024-09-26,Hukum Pidana,+62 (0276) 588 ,"Gang Soekarno Hatta No. 50, Cilegon, KS 91871",pengacara64_cup-dinner-it-must@pd.desa.id,Ternate,1970-12-27,Wanita
65,"Bakidin Prakasa, S.T.",2024-12-12,Hukum Properti,(0173) 994 2233,"Jl. Pasir Koja No. 610, Manado, KT 29169",pengacara65_seat-meeting-indeed@pt.com,Kupang,1986-11-02,Laki-Laki
66,Tirta Prabowo,2025-08-17,Hukum Properti,+62 (663) 460 7,"Jalan Rumah Sakit No. 187, Prabumulih, Aceh 38586",pengacara66_safe-down-season@perum.mil.id,Pangkalpinang,1984-06-12,Laki-Laki
67,Cut Genta Oktaviani,2025-02-15,Hukum Pajak,+62 (012) 981 9,"Jl. Antapani Lama No. 60, Palangkaraya, Maluku Utara 18330",pengacara67_ball-eight-relate@cv.or.id,Purwokerto,1990-01-15,Laki-Laki
68,"H. Dodo Prasasta, S.IP",2025-06-03,Hukum Tata Negara,(0685) 399-6231,"Gg. Cikutra Barat No. 503, Kota Administrasi Jakarta Utara, SU 03528",pengacara68_reach-something@ud.co.id,Tebingtinggi,1990-10-08,Wanita
69,drg. Balapati Marpaung,2025-09-14,Hukum Perdata,086 436 5203,"Gg. Bangka Raya No. 561, Denpasar, SR 65998",pengacara69_oil-quickly-write@pd.sch.id,Binjai,1980-07-05,Laki-Laki
70,Najwa Sihombing,2024-07-14,Hukum Keluarga,+62-17-763-4074,"Gang Ronggowarsito No. 37, Magelang, RI 29762",pengacara70_blue-everybody@pt.mil.id,Ambon,1982-07-23,Wanita
71,"KH. Rudi Situmorang, S.Psi",2024-05-04,Hukum Kepailitan,082 155 5705,"Jl. Bangka Raya No. 35, Kediri, Riau 49145",pengacara71_military-issue@pt.or.id,Lubuklinggau,1971-09-03,Laki-Laki
72,Mumpuni Pertiwi,2025-08-31,Hukum Keluarga,+62 (42) 110 69,"Jl. Gegerkalong Hilir No. 13, Tasikmalaya, GO 93075",pengacara72_director-himself@perum.biz.id,Pangkalpinang,1988-07-15,Wanita
73,Latif Latupono,2025-02-18,Hukum Perdata,+62 (19) 029 68,"Jalan Rumah Sakit No. 90, Tanjungpinang, MA 89443",pengacara73_little-conference@ud.ac.id,Tebingtinggi,1982-03-14,Laki-Laki
74,Kenzie Budiyanto,2025-09-27,Hukum Pajak,+62 (0758) 148-,"Jalan Pacuan Kuda No. 39, Palembang, KI 53041",pengacara74_language-some@perum.web.id,Pagaralam,1974-02-13,Wanita
75,"Mutia Novitasari, S.IP",2024-07-22,Hukum Properti,+62-475-229-764,"Jalan HOS. Cokroaminoto No. 593, Bontang, Sumatera Barat 80688",pengacara75_note-determine@pt.id,Prabumulih,1989-06-15,Wanita
76,"R.A. Gawati Permata, M.Ak",2024-05-11,Hukum Pidana,087 278 4614,"Gang BKR No. 3, Solok, Kalimantan Timur 98114",pengacara76_begin-language-team@cv.id,Ternate,1982-07-01,Laki-Laki
77,Samiah Siregar,2024-08-05,Hukum Pidana,0817789320,"Jl. Joyoboyo No. 90, Binjai, Aceh 16996",pengacara77_wall-recent-relate@ud.com,Bogor,1976-03-22,Wanita
78,Purwa Mansur,2024-11-09,Hukum Kepailitan,+62 (784) 380 5,"Gg. Abdul Muis No. 017, Samarinda, Kalimantan Barat 03759",pengacara78_property-total@cv.sch.id,Magelang,1992-08-26,Laki-Laki
79,R.M. Lega Santoso,2024-01-22,Hukum Bisnis,(0625) 975 7406,"Jl. Ciwastra No. 46, Sukabumi, Nusa Tenggara Barat 57517",pengacara79_bring-most-yard@perum.int,Samarinda,1973-12-19,Wanita
80,Diana Setiawan,2024-08-17,Hukum Pajak,+62 (38) 081-13,"Jalan Asia Afrika No. 7, Bengkulu, KI 55790",pengacara80_mrs-evening-choose@perum.web.id,Banda Aceh,1988-01-06,Laki-Laki
81,"Juli Simanjuntak, S.H.",2025-07-05,Hukum Pidana,(0372) 619-4140,"Gg. Cihampelas No. 2, Sabang, YO 13084",pengacara81_both-teach-hot@ud.mil,Tasikmalaya,1993-09-13,Laki-Laki
82,"Harjaya Prayoga, S.Pd",2024-09-13,Hukum Perdata,+62 (684) 752-4,"Jl. Jend. Sudirman No. 8, Mataram, Kepulauan Riau 95574",pengacara82_statement-finish@cv.org,Dumai,1994-05-09,Laki-Laki
83,Raharja Winarno,2024-03-14,Hukum Bisnis,+62 (27) 825-34,"Gang BKR No. 634, Yogyakarta, Kalimantan Tengah 17409",pengacara83_politics-religious@cv.go.id,Pekanbaru,1992-02-16,Wanita
84,Icha Irawan,2024-07-28,Hukum Kepailitan,+62 (0275) 603-,"Jalan Sentot Alibasa No. 644, Bima, Jawa Tengah 55378",pengacara84_not-outside@pd.co.id,Padangpanjang,1991-12-24,Laki-Laki
85,Arta Firgantoro,2024-07-13,Hukum Pajak,+62-0822-021-17,"Gg. Astana Anyar No. 532, Denpasar, Riau 68947",pengacara85_administration-body@cv.sch.id,Madiun,1988-10-27,Laki-Laki
86,"Luwes Aryani, M.M.",2024-12-01,Hukum Bisnis,+62-0275-294-76,"Gang Gardujati No. 26, Magelang, Sumatera Utara 03231",pengacara86_push-choice-never@pt.id,Bandar Lampung,1990-04-20,Laki-Laki
87,Ir. Bancar Prastuti,2025-03-13,Hukum Tata Negara,+62-92-343-0353,"Gg. Laswi No. 7, Tomohon, SR 63893",pengacara87_art-large-record@ud.ac.id,Kupang,1991-01-26,Wanita
88,Uli Usamah,2024-02-24,Hukum Pajak,(0768) 286 2756,"Jalan Ahmad Dahlan No. 70, Ternate, AC 63978",pengacara88_spring-amount-peace@pt.ac.id,Jayapura,1992-05-08,Laki-Laki
89,Cawuk Melani,2024-06-11,Hukum Pajak,089 500 7676,"Gang PHH. Mustofa No. 5, Bekasi, JT 52685",pengacara89_oil-tell-each@pt.or.id,Jambi,1993-04-29,Laki-Laki
90,Unjani Marpaung,2025-03-16,Hukum Keluarga,(023) 805-6023,"Jalan Gardujati No. 40, Pangkalpinang, SR 18370",pengacara90_third-late-sound@pd.id,Banjar,1973-09-29,Wanita
91,Labuh Pangestu,2025-11-02,Hukum Pajak,(009) 250-7372,"Jl. Sadang Serang No. 5, Sabang, JT 42329",pengacara91_exactly-new-effort@perum.my.id,Subulussalam,1978-02-13,Wanita
92,Dipa Damanik,2025-05-10,Hukum Tata Negara,+62-17-714-7507,"Jalan Pacuan Kuda No. 4, Purwokerto, Kalimantan Timur 90287",pengacara92_discussion-seek@pt.net,Kotamobagu,1994-08-13,Laki-Laki
93,drg. Gilda Iswahyudi,2025-12-22,Hukum Pidana,(0281) 070 8955,"Jalan Rawamangun No. 87, Lubuklinggau, JT 34877",pengacara93_college-out@pd.sch.id,Pangkalpinang,1990-01-25,Laki-Laki
94,Icha Mayasari,2025-09-09,Hukum Keluarga,+62-516-980-575,"Jalan Yos Sudarso No. 096, Kota Administrasi Jakarta Barat, Sumatera Barat 49284",pengacara94_story-first-carry@pd.web.id,Bau-Bau,1994-05-23,Laki-Laki
95,Tiara Nurdiyanti,2024-10-01,Hukum Bisnis,+62-104-989-062,"Gang BKR No. 944, Medan, Kalimantan Barat 49905",pengacara95_star-enjoy-miss@cv.web.id,Surakarta,1985-11-12,Laki-Laki
96,"Cagak Rajata, S.H.",2024-04-21,Hukum Properti,(0085) 014 7322,"Jalan Rajawali Barat No. 12, Pangkalpinang, PA 24317",pengacara96_race-thank-defense@ud.ponpes.id,Kota Administrasi Jakarta Pusat,1995-01-19,Wanita
97,"Anastasia Hutasoit, S.H.",2024-05-10,Hukum Keluarga,+62 (097) 874 6,"Gg. Cempaka No. 866, Sorong, Kalimantan Selatan 22988",pengacara97_color-street@perum.com,Kota Administrasi Jakarta Timur,1993-01-07,Laki-Laki
98,Candra Permadi,2025-01-09,Hukum Perdata,084 226 8882,"Gg. Setiabudhi No. 3, Metro, Kalimantan Tengah 22408",pengacara98_should-drive@pd.gov,Malang,1992-09-29,Wanita
99,"Carub Susanti, M.TI.",2025-11-24,Hukum Kepailitan,+62-050-542-055,"Jalan Ciwastra No. 427, Tidore Kepulauan, PB 45678",pengacara99_many-employee-hour@perum.net,Subulussalam,1972-03-29,Wanita
100,Hesti Halim,2024-06-23,Hukum Keluarga,+62 (034) 678 0,"Jl. R.E Martadinata No. 599, Kota Administrasi Jakarta Pusat, YO 33898",pengacara100_reason@ud.sch.id,Pematangsiantar,1982-05-23,Laki-Laki
101,"Kemba Mansur, M.M.",2024-06-11,Hukum Properti,+62 (0682) 920 ,"Jl. KH Amin Jasuta No. 6, Pagaralam, MU 74180",pengacara101_office-herself@cv.net.id,Tidore Kepulauan,1987-12-23,Wanita
102,"Ganep Budiman, M.Farm",2025-06-11,Hukum Kepailitan,+62 (085) 089 5,"Jalan Ahmad Dahlan No. 580, Tangerang Selatan, Papua 98607",pengacara102_lawyer-real-western@perum.edu,Meulaboh,1994-05-02,Wanita
103,drg. Puspa Firmansyah,2025-01-26,Hukum Pidana,+62-967-026-512,"Jalan Bangka Raya No. 442, Padang Sidempuan, AC 77478",pengacara103_lose-money-open@perum.com,Sabang,1986-10-15,Laki-Laki
104,KH. Jono Maryati,2025-01-18,Hukum Bisnis,(0917) 464-2963,"Jl. M.H Thamrin No. 34, Banda Aceh, KT 38023",pengacara104_single-enough@ud.com,Subulussalam,1989-09-07,Laki-Laki
105,Maida Ramadan,2025-01-08,Hukum Pajak,0814780896,"Gg. Rajiman No. 88, Kendari, KR 36163",pengacara105_site-lawyer@cv.my.id,Bitung,1975-07-10,Laki-Laki
106,Puti Najwa Purwanti,2025-01-31,Hukum Bisnis,0873762952,"Jl. Cikutra Barat No. 55, Batam, DI Yogyakarta 69179",pengacara106_growth-compare@ud.ac.id,Payakumbuh,1990-06-17,Wanita
107,"R.A. Ulva Hardiansyah, M.Farm",2024-07-04,Hukum Bisnis,+62 (0766) 903 ,"Gg. HOS. Cokroaminoto No. 3, Blitar, Riau 46883",pengacara107_foreign-heart@ud.desa.id,Samarinda,1986-09-19,Wanita
108,"Kani Usada, S.Farm",2024-09-18,Hukum Kepailitan,+62 (17) 665-99,"Gg. Pasteur No. 7, Palangkaraya, SN 88215",pengacara108_pick-others-require@cv.ac.id,Cilegon,1975-07-10,Wanita
109,Respati Mandala,2025-03-29,Hukum Pajak,+62-645-575-486,"Gg. M.H Thamrin No. 28, Pematangsiantar, BE 17631",pengacara109_wall-performance@pd.org,Kota Administrasi Jakarta Barat,1991-09-20,Laki-Laki
110,Tirtayasa Suwarno,2024-02-21,Hukum Pajak,+62 (0019) 502 ,"Gg. Pacuan Kuda No. 12, Semarang, Kalimantan Tengah 53315",pengacara110_often-president@pd.int,Pangkalpinang,1978-11-01,Wanita
111,Cager Yuliarti,2024-10-23,Hukum Keluarga,+62 (909) 942-5,"Jalan Kendalsari No. 03, Bogor, Aceh 10294",pengacara111_carry-style-wide@ud.edu,Jambi,1989-01-05,Wanita
112,Rahmi Hutasoit,2025-09-09,Hukum Bisnis,(034) 891-5934,"Gg. Sentot Alibasa No. 978, Padang, Kalimantan Tengah 38031",pengacara112_then-other-school@pt.co.id,Padang Sidempuan,1979-01-06,Wanita
113,"Tgk. Irma Pudjiastuti, S.Farm",2025-04-28,Hukum Tata Negara,081 292 0868,"Gang Cihampelas No. 9, Tanjungbalai, KT 19073",pengacara113_suggest-relate-deep@perum.mil,Salatiga,1977-06-26,Wanita
114,R.A. Farhunnisa Zulaika,2025-04-01,Hukum Kepailitan,+62-69-003-9065,"Jalan Kapten Muslihat No. 98, Medan, PA 25745",pengacara114_ahead-marriage@cv.net.id,Cimahi,1985-01-26,Wanita
115,Hasta Permata,2024-02-24,Hukum Pajak,+62 (072) 042 7,"Gang Jakarta No. 959, Serang, BB 77098",pengacara115_computer@perum.mil,Sibolga,1994-10-01,Laki-Laki
116,"Ir. Kiandra Putra, S.Psi",2025-02-09,Hukum Keluarga,+62-0035-378-63,"Gg. Kutisari Selatan No. 0, Kota Administrasi Jakarta Pusat, LA 65662",pengacara116_her-condition@cv.biz.id,Medan,1988-07-17,Laki-Laki
117,"KH. Cakrajiya Pratiwi, M.TI.",2025-12-28,Hukum Kepailitan,+62-99-340-1880,"Jl. Erlangga No. 5, Jayapura, AC 81650",pengacara117_mrs-instead-age-top@pt.edu,Balikpapan,1970-11-18,Wanita
118,Wirda Latupono,2025-05-16,Hukum Perdata,+62-44-679-0329,"Gg. H.J Maemunah No. 18, Tangerang, Riau 91140",pengacara118_cultural-town@pd.web.id,Bengkulu,1984-05-15,Laki-Laki
119,"R. Vero Irawan, S.T.",2025-07-23,Hukum Kepailitan,+62 (12) 699 67,"Jalan Tubagus Ismail No. 6, Samarinda, KR 09787",pengacara119_scene-other@ud.net,Pontianak,1981-10-26,Wanita
120,Zulaikha Kuswoyo,2025-02-21,Hukum Keluarga,+62 (10) 059-20,"Gg. Pasteur No. 95, Tanjungpinang, Sulawesi Barat 76689",pengacara120_sit-network-music@perum.or.id,Medan,1991-01-10,Wanita
