Penagihan_ID,NIK,LH_ID,Kasus_ID,Staf_ID,Tgl_Penagihan,Status_Penagihan,Tgl_Bayar,Biaya_Layanan_Hukum,Biaya_Admin,Biaya_PendaftaranPgd,Biaya_SalinanPts
30,3501041203050030,1,30,10,2025-11-10,Lunas,2025-11-14,500000,45000,270000,90000
31,3501041203050031,1,31,43,2025-11-15,Belum Lunas,,500000,50000,310000,105000
32,3501041203050032,1,32,89,2025-11-20,Lunas,2025-11-20,500000,40000,180000,70000
33,3501041203050033,1,33,6,2025-11-25,Lunas,2025-11-27,500000,30000,140000,50000
34,3501041203050034,1,34,52,2025-12-01,Belum Lunas,,500000,55000,340000,115000
35,3501041203050035,1,35,75,2025-12-05,Lunas,2025-12-10,500000,60000,410000,135000
36,3501041203050036,1,36,18,2025-12-10,Lunas,2025-12-11,500000,40000,200000,75000
37,3501041203050037,1,37,62,2025-12-15,Belum Lunas,,500000,35000,150000,55000
38,3501041203050038,1,38,4,2025-12-20,Lunas,2025-12-20,500000,45000,230000,80000
39,3501041203050039,1,39,84,2026-01-01,Lunas,2026-01-05,500000,50000,300000,100000
40,3501041203050040,1,40,27,2026-01-05,Lunas,2026-01-07,500000,35000,160000,60000
41,3501041203050041,1,41,57,2026-01-10,Belum Lunas,,500000,30000,120000,45000
42,3501041203050042,1,42,19,2026-01-15,Lunas,2026-01-18,500000,60000,350000,120000
43,3501041203050043,1,43,93,2026-01-20,Lunas,2026-01-20,500000,35000,170000,65000
44,3501041203050044,1,44,34,2026-01-25,Belum Lunas,,500000,40000,190000,70000
45,3501041203050045,1,45,69,2026-02-01,Lunas,2026-02-01,500000,30000,150000,50000
46,3501041203050046,1,46,2,2026-02-05,Lunas,2026-02-09,500000,55000,380000,130000
47,3501041203050047,1,47,46,2026-02-10,Belum Lunas,,500000,45000,220000,80000
48,3501041203050048,1,48,81,2026-02-15,Lunas,2026-02-15,500000,35000,140000,55000
49,3501041203050049,1,49,28,2026-02-20,Lunas,2026-02-25,500000,40000,180000,65000
50,3501041203050050,1,50,50,2026-02-25,Lunas,2026-02-28,500000,45000,250000,90000
51,3501041203050051,2,51,86,2026-03-01,Belum Lunas,,2000000,30000,160000,60000
52,3501041203050052,2,52,70,2026-03-05,Lunas,2026-03-05,2000000,35000,150000,50000
53,3501041203050053,2,53,20,2026-03-10,Lunas,2026-03-12,2000000,40000,190000,70000
54,3501041203050054,2,54,47,2026-03-15,Belum Lunas,,2000000,55000,330000,110000
55,3501041203050055,2,55,98,2026-03-20,Lunas,2026-03-23,2000000,60000,400000,130000
56,3501041203050056,2,56,30,2026-03-25,Lunas,2026-03-27,2000000,45000,210000,80000
57,3501041203050057,2,57,61,2026-04-01,Belum Lunas,,2000000,35000,170000,65000
58,3501041203050058,2,58,40,2026-04-05,Lunas,2026-04-05,2000000,50000,300000,100000
59,3501041203050059,2,59,83,2026-04-10,Lunas,2026-04-15,2000000,65000,450000,140000
60,3501041203050060,2,60,55,2026-04-15,Lunas,2026-04-16,2000000,40000,200000,75000
61,3501041203050061,2,61,7,2026-04-20,Belum Lunas,,2000000,35000,150000,50000
62,3501041203050062,2,62,42,2026-04-25,Lunas,2026-04-29,2000000,45000,240000,85000
63,3501041203050063,2,63,99,2026-05-01,Lunas,2026-05-01,2000000,50000,310000,110000
64,3501041203050064,2,64,15,2026-05-05,Lunas,2026-05-09,2000000,40000,180000,65000
65,3501041203050065,2,65,64,2026-05-10,Belum Lunas,,2000000,30000,130000,45000
66,3501041203050066,2,66,96,2026-05-15,Lunas,2026-05-17,2000000,45000,250000,90000
67,3501041203050067,2,67,5,2026-05-20,Lunas,2026-05-20,2000000,55000,360000,120000
68,3501041203050068,2,68,66,2026-05-25,Belum Lunas,,2000000,40000,190000,70000
69,3501041203050069,2,69,39,2026-06-01,Lunas,2026-06-03,2000000,45000,230000,80000
70,3501041203050070,2,70,41,2026-06-05,Lunas,2026-06-07,2000000,50000,320000,105000
71,3501041203050071,2,71,9,2026-06-10,Belum Lunas,,2000000,40000,200000,75000
72,3501041203050072,2,72,63,2026-06-15,Lunas,2026-06-19,2000000,35000,150000,55000
73,3501041203050073,2,73,37,2026-06-20,Lunas,2026-06-20,2000000,30000,140000,50000
74,3501041203050074,2,74,78,2026-06-25,Lunas,2026-06-25,2000000,40000,210000,80000
75,3501041203050075,2,75,12,2026-07-01,Belum Lunas,,2000000,55000,350000,115000
76,3501041203050076,2,76,24,2026-07-05,Lunas,2026-07-08,2000000,45000,220000,85000
77,3501041203050077,2,77,58,2026-07-10,Lunas,2026-07-10,2000000,35000,170000,60000
78,3501041203050078,2,78,85,2026-07-15,Belum Lunas,,2000000,40000,230000,80000
79,3501041203050079,2,79,23,2026-07-20,Lunas,2026-07-22,2000000,60000,410000,135000
80,3501041203050080,2,80,73,2026-07-25,Lunas,2026-07-25,2000000,40000,190000,70000
81,3501041203050081,2,81,67,2026-08-01,Belum Lunas,,2000000,35000,160000,55000
82,3501041203050082,2,82,35,2026-08-05,Lunas,2026-08-07,2000000,50000,300000,100000
83,3501041203050083,2,83,100,2026-08-10,Lunas,2026-08-10,2000000,45000,260000,90000
84,3501041203050084,2,84,25,2026-08-15,Belum Lunas,,2000000,35000,170000,60000
85,3501041203050085,2,85,68,2026-08-20,Lunas,2026-08-25,2000000,30000,140000,50000
86,3501041203050086,2,86,45,2026-08-25,Lunas,2026-08-26,2000000,40000,210000,75000
87,3501041203050087,2,87,74,2026-09-01,Belum Lunas,,2000000,60000,420000,125000
88,3501041203050088,2,88,26,2026-09-05,Lunas,2026-09-05,2000000,35000,160000,55000
89,3501041203050089,2,89,77,2026-09-10,Lunas,2026-09-14,2000000,30000,150000,50000
90,3501041203050090,2,90,51,2026-09-15,Belum Lunas,,2000000,45000,240000,85000
91,3501041203050091,2,91,80,2026-09-20,Lunas,2026-09-20,2000000,65000,450000,140000
92,3501041203050092,2,92,17,2026-09-25,Lunas,2026-09-29,2000000,35000,170000,60000
93,3501041203050093,2,93,44,2026-10-01,Belum Lunas,,2000000,30000,130000,45000
94,3501041203050094,2,94,92,2026-10-05,Lunas,2026-10-08,2000000,55000,380000,120000
95,3501041203050095,2,95,10,2026-10-10,Lunas,2026-10-10,2000000,60000,400000,130000
96,3501041203050096,2,96,4,2026-10-15,Belum Lunas,,2000000,40000,210000,75000
97,3501041203050097,2,97,32,2026-10-20,Lunas,2026-10-25,2000000,35000,150000,50000
98,3501041203050098,2,98,87,2026-10-25,Lunas,2026-10-25,2000000,45000,250000,90000
99,3501041203050099,2,99,1,2026-11-01,Belum Lunas,,2000000,50000,320000,105000
100,3501041203050100,2,100,31,2026-11-05,Lunas,2026-11-05,2000000,40000,190000,70000
